dataset,model,strategy,k_pct,fold,repeat_seed,selected_features
Communities and Crime,ridge,mi,0.25,1,42,49|55|48|54|8|51|50|33|32|45|73|20|46|22|72|7|43|82|24|78|74|34|17|76|37
Communities and Crime,ridge,mi,0.75,1,42,49|55|48|54|8|51|50|33|32|45|73|20|46|22|72|7|43|82|24|78|74|34|17|76|37|10|15|35|27|91|13|67|79|95|25|60|77|94|68|5|66|41|125|42|30|83|36|44|28|12|88|56|89|119|75|29|38|59|90|62|65|98|16|96|99|58|57|87|6|70|61|26|64|14|63
Communities and Crime,ridge,rfe,0.25,1,42,49|63|62|85|84|55|90|87|43|7|73|76|78|72|71|69|17|24|96|66|47|12|44|18|38
Communities and Crime,ridge,rfe,0.75,1,42,49|63|62|85|84|55|90|87|43|7|73|76|78|72|71|69|17|24|96|66|47|12|44|18|38|53|26|20|46|42|33|11|25|13|95|56|68|93|89|54|94|50|16|10|64|23|70|34|35|19|61|57|59|79|80|77|99|41|39|14|30|52|86|8|120|74|92|45|32|15|27|48|82|91|75
Communities and Crime,ridge,tree,0.25,1,42,55|49|8|48|7|50|51|73|54|45|46|95|29|43|16|10|76|20|33|79|120|74|77|22|97
Communities and Crime,ridge,tree,0.75,1,42,55|49|8|48|7|50|51|73|54|45|46|95|29|43|16|10|76|20|33|79|120|74|77|22|97|81|30|31|67|83|94|92|53|52|91|93|39|32|64|19|40|96|41|60|37|58|65|27|57|82|59|5|66|118|80|23|99|56|125|71|11|72|70|34|15|78|21|38|98|119|63|44|14|6|28
Communities and Crime,ridge,shap,0.25,1,42,49|90|7|13|12|65|18|33|54|78|35|75|61|44|11|88|21|41|25|46|24|32|71|42|76
Communities and Crime,ridge,shap,0.75,1,42,49|90|7|13|12|65|18|33|54|78|35|75|61|44|11|88|21|41|25|46|24|32|71|42|76|100|53|47|95|36|59|87|68|82|62|37|60|39|64|92|83|43|57|26|66|67|23|45|22|56|58|14|17|74|28|52|97|8|63|98|40|93|19|84|72|81|79|15|70|77|50|34|94|16|96
Communities and Crime,ridge,mi,0.25,2,42,49|55|48|51|8|54|50|45|20|33|73|46|22|32|7|72|82|43|37|78|76|24|74|34|15
Communities and Crime,ridge,mi,0.75,2,42,49|55|48|51|8|54|50|45|20|33|73|46|22|32|7|72|82|43|37|78|76|24|74|34|15|10|17|35|27|79|60|25|13|67|42|77|95|30|94|65|5|41|68|91|88|75|12|38|28|83|90|29|66|44|36|31|56|119|59|18|64|98|62|71|96|89|70|125|87|93|23|26|19|63|84
Communities and Crime,ridge,rfe,0.25,2,42,49|85|84|15|5|76|7|25|26|73|72|78|55|71|69|66|96|90|87|43|62|63|64|18|24
Communities and Crime,ridge,rfe,0.75,2,42,49|85|84|15|5|76|7|25|26|73|72|78|55|71|69|66|96|90|87|43|62|63|64|18|24|17|38|68|44|12|20|46|16|93|53|70|33|23|95|36|8|79|80|65|34|9|30|88|94|54|59|58|19|86|56|32|74|75|67|47|92|35|120|39|42|41|14|40|13|11|52|37|21|91|31
Communities and Crime,ridge,tree,0.25,2,42,55|49|48|8|7|50|51|73|54|45|16|46|29|95|76|33|43|10|77|74|79|32|97|22|20
Communities and Crime,ridge,tree,0.75,2,42,55|49|48|8|7|50|51|73|54|45|16|46|29|95|76|33|43|10|77|74|79|32|97|22|20|30|67|120|31|81|92|83|52|53|37|94|93|39|40|119|91|57|19|41|66|71|65|5|82|60|118|15|23|80|27|96|68|72|34|28|56|59|21|58|11|64|70|24|14|38|42|100|99|18|6
Communities and Crime,ridge,shap,0.25,2,42,13|12|73|72|10|21|22|66|49|11|8|48|69|87|5|32|26|78|80|51|17|55|20|92|37
Communities and Crime,ridge,shap,0.75,2,42,13|12|73|72|10|21|22|66|49|11|8|48|69|87|5|32|26|78|80|51|17|55|20|92|37|56|88|89|85|118|45|24|90|59|39|18|52|60|16|57|42|70|67|82|65|54|79|74|33|14|34|35|91|46|44|9|43|64|98|47|119|81|62|76|29|41|58|6|99|77|95|38|120|93|94
Communities and Crime,ridge,mi,0.25,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76
Communities and Crime,ridge,mi,0.5,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76|35|94|27|67|25|15|79|10|5|13|41|95|12|28|42|60|88|36|68|75|77|44|125|65|38
Communities and Crime,ridge,mi,0.75,3,42,49|55|48|8|54|45|50|51|33|32|20|22|73|46|7|72|43|24|78|82|37|74|34|17|76|35|94|27|67|25|15|79|10|5|13|41|95|12|28|42|60|88|36|68|75|77|44|125|65|38|119|30|91|59|96|66|89|56|16|83|29|18|31|71|90|62|70|64|58|26|87|6|98|85|57
Communities and Crime,ridge,mi,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,rfe,0.25,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20
Communities and Crime,ridge,rfe,0.5,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20|66|12|89|44|18|68|95|10|38|96|93|53|33|23|26|56|42|74|52|61|21|39|41|120|30
Communities and Crime,ridge,rfe,0.75,3,42,49|45|46|43|15|5|85|84|7|73|90|87|63|62|76|55|78|72|71|69|70|17|24|16|20|66|12|89|44|18|68|95|10|38|96|93|53|33|23|26|56|42|74|52|61|21|39|41|120|30|50|79|80|34|8|47|99|77|19|31|125|75|64|92|32|54|94|91|35|36|28|40|118|27|81
Communities and Crime,ridge,rfe,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,tree,0.25,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77
Communities and Crime,ridge,tree,0.5,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77|83|92|97|32|93|27|120|53|81|94|91|67|40|52|118|82|39|66|71|37|125|60|41|23|19
Communities and Crime,ridge,tree,0.75,3,42,55|49|8|48|7|50|51|54|73|16|45|46|20|95|76|79|43|29|33|74|22|10|31|30|77|83|92|97|32|93|27|120|53|81|94|91|67|40|52|118|82|39|66|71|37|125|60|41|23|19|119|28|57|99|34|59|5|72|100|96|80|65|58|68|98|24|18|38|11|15|70|78|42|21|69
Communities and Crime,ridge,tree,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,shap,0.25,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41
Communities and Crime,ridge,shap,0.5,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41|67|88|86|68|17|60|15|11|120|52|45|8|24|73|93|96|78|100|46|39|9|16|31|23|92
Communities and Crime,ridge,shap,0.75,3,42,66|34|47|69|65|12|42|26|89|76|82|55|87|74|35|7|5|18|63|43|53|38|33|54|41|67|88|86|68|17|60|15|11|120|52|45|8|24|73|93|96|78|100|46|39|9|16|31|23|92|20|56|14|70|6|97|71|49|99|125|61|58|32|118|21|75|36|95|81|80|37|27|44|94|40
Communities and Crime,ridge,shap,1.0,3,42,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|118|119|120|125
Communities and Crime,ridge,mi,0.25,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15
Communities and Crime,ridge,mi,0.5,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15|35|17|27|94|10|42|79|67|25|56|95|88|68|77|60|5|30|65|13|12|44|91|41|36|83
Communities and Crime,ridge,mi,0.75,4,42,49|55|48|54|8|50|51|20|33|45|32|73|22|7|46|72|43|82|24|78|74|76|37|34|15|35|17|27|94|10|42|79|67|25|56|95|88|68|77|60|5|30|65|13|12|44|91|41|36|83|62|75|59|119|64|125|98|26|38|29|18|87|31|66|89|58|63|6|71|70|16|28|61|84|96
