,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
cat1,1.0,-0.1681698064903936,-0.09724583505967299,-0.027432830266445503,0.01244288455071465,0.07921281103247801,-0.0692938305920704,-0.08425584621032765,-0.1591946784042763,-0.14209992628628285,-0.10149709516155803,-0.14477669983071625,-0.09844478285126773,-0.041662527075075374,-0.00040594248510547967,-0.07710021530887069,-0.03507236561055531,-0.029126830865981338,-0.0405864170994294,-0.013324452455142062,-0.01643851535175925,-0.0029925866450376914,-0.07875111875610322,-0.054696780935273324,-0.025898880655425737,0.004665445077851425,0.0398000014908607,-0.06946946301825901,-0.04890697640956774,-0.025331790746613576,-0.030635556023191665,-0.000729881286423157,-0.01584455318346234,-0.007744159320299986,-0.00215651866404699,-0.06126801162844188,0.06438780201033004,0.0011700699754142569,-0.016103832712133143,-0.08396989269166974,-0.06546955388153601,0.011719167465493929,-0.019627753004460232,0.05168978582242153,-0.04705159246615115,-0.013148276265069913,-0.0024401153841078576,0.006246518021340351,0.013716103962703657,0.07085230347439846,-0.011469622974255928,0.008340509254300969,-0.02216951878295473,0.010921705450316723,-0.008423361800084864,-0.0036385566593208104,-0.061082325516575435,-0.015657245702146487,-0.01895413009846957,-0.01409952349284237,-0.023528155523416503,-0.006500997226364972,-0.008174284032698284,-0.006747672072571618,-0.03821944831904194,-0.07691639920220952,-0.020079972922206774,-0.009521468883458927,0.003277371761665474,-0.0007918299395004848,-0.00038984448490198573,-0.20295881278158467,0.3016335241615003,-0.005450042079841779,-0.014687635223837195,-0.036451412997880545,0.002757700232556014,-0.0186062350947035,-0.15888315397767552,0.20905351832525762,0.09134252781698018,0.09688323489742921,0.011566843161314415,-0.06864716505488466,-0.027662919613085372,0.01307353779988609,-0.13352727319356908,0.005289414213167121,-0.06662862187182614,-0.09362401777090813,0.05298246761962503,0.009967091047572596,0.02751744802686988,0.029807131537013084,0.00034985251916253306,-0.0006902779964296957,-0.01911178720773211,0.019608511744355673,0.01300786780913953,-0.14457011117066032,-0.18254042754524544,-0.07760140150047767,-0.02577680509803281,0.031677895356199304,0.02497444134890664,-0.04836898732732178,-0.01278979977766515,0.00865845891579276,0.017703365048235116,-0.012477657847515238,-0.05642867007281161,0.014901830410517005,-0.0006092776147750684,0.036125022476745,-0.0025846604697513076,0.0367380672805973,0.041513750573911455,0.022928985056425176,0.010643014932210607,0.003249334166155086,0.003277674903270075,0.04106728661869158,0.043457650215221695,0.009232450827939158,0.03513049517830846,0.04737982247471214,0.04549142781438827,0.04501601696845633,0.018648637163066827,0.022791372596797924,-0.22210474388939894
cat2,-0.1681698064903936,1.0,0.1391628742485059,-0.033319979861612184,-0.06288353215148786,-0.43801537156418574,0.07073231306791511,0.0010355165111932713,0.9324202124185813,0.4789947634905108,0.39567297384449934,0.48287484264554337,0.3883162303891516,0.12652170325478607,0.015368114855129913,0.19386731783200636,0.04486229421217217,0.006728830848188398,-0.0474083246373619,0.023978923987278602,-0.022896529787922754,0.00806301557604275,0.23827435259656565,0.042980557843960064,-0.07922814487735795,-0.15530286957294523,-0.23311703271459427,0.05816821787606676,-0.08234751921942142,-0.08678887199425026,-0.05229759593694752,-0.04406939125631629,-0.02511718485162158,-0.030267175953472072,-0.012526768060228776,0.23237228315773467,-0.24626860711496737,-0.0893656045310994,-0.038944118035060954,0.04266314936016022,0.027595053887847304,-0.05621433928002568,-0.09507257180955535,-0.18762167626775222,-0.08510098132869337,-0.01744765981329472,-0.033036109508950945,-0.01661458698517542,-0.15648839238407564,-0.40808527123408217,-0.05487484116758584,-0.1486923872101565,-0.1974067312923214,-0.10678485800958294,-0.01615957448827272,-0.016850264623357064,0.07705827263370957,0.013678102821463605,0.0013467016643802245,0.006338471551680696,0.013726693847856181,-0.0010387328922389397,0.002496097351147188,0.0017877311725390508,-0.007093474913253433,0.0022436197433686766,0.010477654160472966,-0.0005964066498953418,-0.01700562204830692,-0.008694274273539094,-0.011157226045243097,0.1372661267344689,-0.13204885043617723,0.006321260451477554,0.028435040740374062,-0.021840163064090794,0.04660252466807485,0.0405447469166739,0.17051548720311321,-0.19876684453893154,0.0021881667103310957,-0.07080239270995542,0.007543004366257951,0.0574873125786783,0.04280929550828774,-0.05125122839509883,0.22933759135730195,-0.03440774166773028,0.06621465395639489,0.13402481838732005,-0.040285584379070254,-0.039700626020513406,0.011932469012386138,-0.026863357105704477,0.0041266968745106245,0.019355993109374896,0.0066509726001355305,-0.05356627010282889,-0.042953453458651224,0.10372398425158431,0.7625680170831315,-0.0027924725230197294,-0.08743269573863013,-0.052549376796429556,-0.013904208676335881,0.05823870844585423,-0.015939965818334702,-0.03395404593967174,-0.022676567759603982,0.011559859209225464,-0.06040756213835086,-0.009455035390257644,-0.013883275684823358,-0.3635875953051066,-0.03219674813869861,-0.050346801586881595,-0.062563168517777,-0.03766441707763718,-0.002510005115534415,-0.016106256045651624,-0.010100293658747567,-0.07073756940826002,-0.04903182073706734,-0.03599714343293268,-0.06541711883993105,-0.07793459059239086,-0.06109040967637919,-0.06125478631967239,-0.05991224024155457,-0.020616532885235947,0.22966531297670148
cat3,-0.09724583505967299,0.1391628742485059,1.0,-0.01694880413169491,-0.02141624672256451,-0.050747982849918806,0.08428234438320752,0.12285694202860883,0.14046809174076566,0.21525152528885205,0.11770976589746994,0.1993107994263233,0.12325709856124299,0.02884700642592006,0.00718068088658507,0.7834801970363905,0.34737215319659165,0.3013770530654106,0.4087940663182051,0.1367291002498704,0.1946535322185828,0.06274719712970846,0.03612285711621414,0.0004317914907248004,-0.03146632903429759,-0.043597145481571786,-0.04991630193086647,0.005214038691869839,-0.006572320806554181,-0.013376939729677356,-0.027643323951190388,-0.010037766039385531,-0.007699470404584245,-0.008818293385389576,-0.003940669459609206,0.033615081434432696,-0.052446496804011346,-0.03481344619104627,-0.02660618516259108,0.00439746364646516,-0.003361319425517333,-0.011591835470595033,-0.016684043502620267,-0.057325228956262075,-0.00408500113984804,-0.0066136504423787,-0.00821021721968911,-0.006021095278402714,-0.014931673360147427,-0.04097306430699689,-0.007871933777291276,-0.009740623704361365,0.004205411526788548,-0.0037641907433869485,0.004246933686505775,0.0037696281360190234,0.07542652037566906,0.01958811847390718,0.015530244181471422,0.03001601267928211,0.02280376761405627,0.009859207671156238,0.012153059719902277,0.01096201830538653,0.04881737690100696,0.12406596986354312,-0.001904699437582831,-0.0023671315314487806,-0.0022157149631482436,-0.0005510050343650282,0.012016671349068834,0.07864588970384671,-0.07621621248629103,0.007243533846913693,0.015413862457015674,-0.006759923042939879,0.012037286782884958,0.014457128282576753,0.22961730234501906,-0.29164246955969125,-0.022483175728757496,-0.028634092471790176,0.0007787264230805811,0.06602219406070257,0.025201919288132646,-0.003796876703481715,0.4792687009893462,-0.017782876337343132,0.08218080159936436,0.9557375939749596,-0.04526201295045098,-0.011632762142023717,-0.004022599728786116,-0.0017697400848812675,-0.002149107495047961,-0.00047317661416103817,0.022150690685696594,-0.0018444749700946472,-0.010305452101654915,0.05715625833293333,0.22220633335772347,0.11519764724749008,-0.03516662612351824,-0.0258437271475324,-0.004815418764856569,0.030588423923687148,0.02292235490735612,0.009938991770610733,-0.01239760927366422,0.004779169565915137,-0.028511552012051897,0.002832146427933915,-0.004805800600361902,-0.027507694387072158,0.005253590447565606,-0.02623114264196111,-0.041266838014010106,-0.00821304662709605,0.008733436551646698,-0.008356592396064066,-0.011571703404214404,-0.02647132798630498,-0.02143376975456223,-0.005466807113252408,-0.03301834598804435,-0.03338752947051104,-0.02252642383302661,-0.023136703759193005,-0.009417763902783883,-0.0012097330262468625,0.19317951947013418
cat4,-0.027432830266445503,-0.033319979861612184,-0.01694880413169491,1.0,-0.2795758676210429,-0.13159786341951457,0.031885112794677956,0.0034832090189224544,-0.032739724085788645,-0.017150615774099886,0.19355697648529285,0.0031972393570025284,-0.09430789776444155,0.012877971779548067,-0.002391910955182136,-0.004526944631905811,-0.0013070659845983124,-0.005062700691170134,-0.026458787814327353,0.010427346667440298,-0.0013202036265423862,0.007785001027884867,0.6481899031055084,0.2732422846329433,0.48094855315197144,0.368073311456802,0.5055356552129113,0.29562459971101307,0.20793749435362185,0.2031310329481869,0.25001424552423923,0.11776177299744078,0.10461492617716074,0.08164173746454412,0.049256881613718384,-0.14193567183523703,-0.18494964998411184,-0.17494478505654115,-0.08680665551766314,-0.06748433004281364,-0.07999882899997084,-0.042050437678262303,-0.06702848456467941,-0.17480468082570144,-0.052795728822911885,-0.03567549476964255,-0.029402800883904453,-0.018593561672926157,0.08298883110088155,-0.12886854620494057,-0.02119711163540237,-0.09701591810095664,-0.07247638332728028,-0.033740342842110665,0.004052958006566931,0.0026003749721113132,0.026528485862814553,0.006068194877251247,0.005871565995247388,0.005882878110333042,0.0186798477655209,0.003452666709144777,0.0010367121681219762,0.0014756299325826316,0.017710375789587986,-0.006735840907994222,-0.0011672809825487773,-0.002153310375900853,0.021847840654138317,0.00070294814076005,0.004408734628294451,0.06745206388683528,0.04598692677240195,0.007536023219335541,0.008900528355667972,0.0027656335051876053,0.037095910514297135,0.02485710071540535,0.07919340586623506,-0.10865839100826477,-0.12393872810760037,-0.021814374239847726,0.0006657459473966361,0.0735776993144161,0.021372409697556657,-0.015464601581072528,0.015903290131119102,0.012434576326653853,0.030812061440997265,-0.013441361554052324,-0.07163833644426668,-0.03886524428626684,-0.0005769419897532133,-0.01557798921534436,-7.497292157204403e-05,-0.005749485897213735,0.0002655221848386597,-0.02470554521727713,-0.013020305312764416,-0.0421271169654682,0.011613520359955103,0.002674364754387418,-0.24932998030409917,-0.004734904351760297,-0.0020434860751753934,0.012874493147520124,-0.014517557579106338,-0.01559172450483661,-0.006970305140980268,0.00893561627404914,0.8299290132444127,-0.009393303781022011,0.0058167741472815206,-0.09775481288965363,-0.010100937180820857,-0.01001316699414686,-0.0014651163147837104,-0.006630602593283369,-0.0046391437508796155,0.00888761044530646,-0.0036436063285760502,-0.014692184547175753,-0.018693444433746594,-0.002064538122223564,-0.001058127220875363,-0.01250504470434259,-0.011524771569628396,-0.010821423662306226,-0.013735100649959286,-0.01958451853765993,0.10610685151940148
cat5,0.01244288455071465,-0.06288353215148786,-0.02141624672256451,-0.2795758676210429,1.0,-0.16734477067499062,0.026698536750248837,0.014455353440907485,-0.07010890833954073,-0.051304760204977366,-0.1089721810068247,-0.020612050973486944,0.17854234105176964,0.021508106806266615,0.00028323841315860846,-0.007398506255361037,-0.0030837726281407016,-0.011228733416493306,-0.016981791006164978,0.0020543695244460273,-0.014021162718377552,-0.0035140592366367175,-0.14973376474258365,-0.07842251250543238,-0.17682461080175205,-0.1484550540804118,-0.17982291051607494,-0.0691142390101726,-0.04968368387848658,-0.0652520160610552,-0.0944082892792938,-0.03236976036981636,-0.038416812736272864,-0.02882576506590376,-0.014991655398605532,0.6263380199712838,0.5110303060143763,0.46361670932398746,0.22683452082387373,0.295323555257486,0.2748054825063561,0.1319166689773027,0.20926499383707986,0.41602675321379956,0.21227192878634477,0.09495223620365051,0.08460973283950844,0.05235257338844575,-0.11307599415579814,-0.1639807179483577,-0.027260282246765265,0.06338361193580029,-0.08525958281136617,-0.04560712694218112,0.006160106565613449,0.0027309383490599077,0.02756622796259167,0.00503940803016994,0.00227742666745244,-0.0039007278470636368,0.01437246856906183,-0.0003127436851817716,-0.002781660696881377,-8.355677922962478e-05,0.019744831737537046,0.007792941742296722,-0.0019064153519345135,0.005828994922492479,0.0065768724283139,-0.004947608998981555,0.007152141752098258,-0.018591381665093415,0.00730234661209094,0.03383770874167527,0.0006997560087718921,0.0019510434231333727,0.03736055009374177,0.019565309021342587,0.06487133240055432,-0.05820989635313467,-0.10293114209663058,0.004458691656606149,0.005785524809106363,0.06258656325346043,0.014009484821772245,0.0208078962555136,0.02629961133382743,0.04057551349044977,0.025361986417350265,-0.01819247432744983,-0.051244798711188186,0.03829374946472098,-0.0028797539116046816,-0.010103524780567747,-0.012240823333860833,-0.015395495302752861,-0.0034217064747918704,0.010444470419600626,0.006853544647423385,-0.08032240811857733,-0.025033643065380973,0.012341263420284769,0.7845866910253383,0.032537587840695215,0.004710798855309445,-0.019618208513657018,-0.0019135221697698067,0.00879325903827161,-0.0010277948094243917,0.0026046691399053234,-0.25623548957491915,-0.012630764300195087,0.01876033395674364,-0.13098886895650313,0.015494847872879141,0.025046709940400716,0.0403644848751753,0.012555261400340127,-0.014004626247296776,0.024819809228042763,0.0035634010701166598,0.030375183993873962,0.0010136347223565455,0.02414538056603079,0.042966357015780735,0.038624997994035876,0.024901195439312802,0.026003981357729026,0.028852611497760486,-0.016415935499725098,0.10614230379663095
cat6,0.07921281103247801,-0.43801537156418574,-0.050747982849918806,-0.13159786341951457,-0.16734477067499062,1.0,-0.04884601076676077,-0.0581472550912747,-0.4097535748457181,-0.22761560661464525,-0.19276266661277885,-0.23107442491932906,-0.1884156461353897,-0.045525272916177376,-0.007949708362660493,-0.10594058267488125,-0.03478975449707869,-0.025304214959717367,0.10977292784591763,-0.008216538392085743,0.0031725395085901212,-0.003011780660005358,-0.2370053906621743,-0.0990996201651222,-0.15507830634285258,-0.05838600289607233,0.16617425447103878,-0.1080813291604834,0.02394596229517913,0.027230450543680746,-0.07445770718865163,0.02040785221607009,-0.03057811175514862,-0.0028328808198286775,-0.007251002732452719,-0.24204641715732145,0.11828610303821009,-0.1591784339080609,-0.07320747584057372,-0.11317380686723741,-0.10684004985274274,0.0105856692093986,0.004991107998335031,-0.09243558849670595,0.0050177343221294015,-0.03276939467510513,-0.0071845756827195115,-0.012229415065543201,0.3454443508038543,0.9257306033210934,0.12451085944736907,0.3379098472895172,0.45461212612495505,0.2401271361280296,0.042333344885986786,0.047432605239186396,-0.05673890966123872,-0.0006064497569350639,0.013006529523811374,0.004262777191059845,-0.02250389612896439,-0.001896238278670175,0.004662963326794256,-0.0022963356391785556,-0.007138839314687442,-0.06381879800777633,0.004578638875629702,-0.007466163754551737,-0.014154411236001418,0.009519374017677247,-0.0025316585693315307,-0.021781464875112264,0.05658845593475974,-0.03145925316444002,-0.015412006550119184,-0.023765925331177638,0.03628231064595576,0.010708535275898783,-0.12736036239412174,0.1698593043214877,0.13272106980113532,0.01412413069752587,-0.0075412466600736855,0.011084243849698007,-0.0011473841046892278,0.0605096115510253,-0.1383137758868587,0.024041778449986558,-0.04513543483255407,-0.05203577249183401,-0.0069467276423337745,-0.08682089480427674,0.009799648926473661,0.026076568503360258,-0.017866056511017015,-0.010790026203220343,0.004065019885365181,0.06155728148061109,0.046041027686467846,0.03105736195727865,-0.3528094782653427,-0.053025102176531835,-0.15961111921901755,0.03691239171356565,0.011317645498573642,-0.03422446922428771,0.04325251262620394,0.04802641347102684,0.028145688114733593,-0.012151880340609444,-0.13787488129780687,0.017171676502487552,-0.007071358906181195,0.8279315975528734,0.05500260686543069,0.034571441298695285,0.033271044152313856,0.03791255375584922,0.006192174639504342,-0.006142085059437561,0.007660335037639333,0.05647940910018816,0.04199025186099473,0.030633643131689935,0.040038499602448756,0.04721980627634173,0.04787642719429562,0.047394539073990244,0.06324887087629541,0.022795803967073446,-0.11688331272653094
cat7,-0.0692938305920704,0.07073231306791511,0.08428234438320752,0.031885112794677956,0.026698536750248837,-0.04884601076676077,1.0,0.056191801990043276,0.07159961331405872,0.09877623688155475,0.07669517796127351,0.10116364408859621,0.07672461380705713,0.08669648305539901,0.0030145826530997523,0.07870114138401191,0.05613482052718416,0.030109306177535582,0.01099643935556118,0.0315054180471216,0.0036638820583285293,0.022728639059089627,0.048648114504702626,0.03097602859292594,0.018997786104202163,-1.3398902955425425e-06,-0.01614552058943978,0.04279659893318569,0.023663640430340464,0.01306827442561276,-0.0032534666672486843,-0.004925422288154078,0.02268173486002109,0.004228150729596302,0.005979369795991593,0.04349898550809345,-0.019604528426198024,0.01668124785274287,-0.004024999239240733,0.04815082599756969,0.02953712873256436,-0.005540344368957454,0.01745510095454305,-0.0037481037105579324,0.028064612321508312,0.018984653852427126,0.010747123627316595,0.0004259190991655265,-0.014446484439849366,-0.04678317712564519,0.0032799483706443286,-0.011604858487134844,-0.009738586885347966,-0.005985035262925236,0.003081768481021956,-0.0015769582834769607,0.8094177258061159,0.2259369699257458,0.25317418239444023,0.30881252266784254,0.3932016348982759,0.09798751378924685,0.12984261253021542,0.10014187471562488,0.035482612778192216,0.04453037434036788,0.019492380436186667,0.006975613885561245,0.011579852722621842,-0.0017437572286433767,0.007044708698206941,0.08436146375917565,-0.055459712915262804,0.011793851992392159,-0.021797777887212627,0.04990393306549393,0.008123796258899724,0.012030137029943409,0.17127490049620467,-0.19167430492579204,-0.07496752035859537,-0.031039430926360707,-0.00435219278433904,0.053085241798987194,0.027179613529503918,-0.004148277101930149,0.1311296784216507,-0.0031050362672297893,0.9555037926264303,0.09155884136110025,-0.04117246782004496,-0.015965767379267706,-0.002172421494801256,0.03464312178045711,-0.0072746120492771195,-0.005551384412033868,0.00555734339568113,-0.0068045974377441395,-0.01415447818959883,0.008569663833892604,0.12325458925643681,0.05602087151549364,0.03250835392463069,-0.008817195877964104,0.013744260311623919,0.0054765155579206935,0.0045010654229199806,-0.0017352970265022655,0.005408933519286581,-0.0039007628992287395,0.03564856089746004,0.00021792342305789657,-0.019374735265617,-0.034514472926474395,-0.003885809654025201,-0.010591731310915217,-0.01399083470127187,0.04824049008040204,0.02867192255253387,-0.007851574094722744,-0.004745569242443636,-0.007371187181142738,0.0053120213382402345,0.002768962937086299,-0.007756675298667726,-0.004984994321752162,0.004369709277159294,0.0032796541780128257,-0.005511348778720427,-0.005294643938695794,0.28021582959901636
cat8,-0.08425584621032765,0.0010355165111932713,0.12285694202860883,0.0034832090189224544,0.014455353440907485,-0.0581472550912747,0.056191801990043276,1.0,-0.0009647175569063428,-0.007118350924019615,-0.01928399085716337,-0.017784506083421987,-0.020611280617881964,0.04682953988376167,0.006738708964490671,0.04791036434085132,0.08112614214792965,0.10676919228291243,0.07786727964086515,0.009643479856261983,0.051588091083186155,0.008194395994884364,-0.0043685231461027,0.07406299097588759,-0.012733711700430634,-0.01526796709527739,-0.02753252356015842,0.10461267769227087,0.07182793223846594,0.03840154673079371,-0.005862515425168084,0.003104588470762678,0.011402966982768397,0.011279957308684732,0.0077381175512845546,-0.001561402183736661,-0.031562261099163096,-0.009378589602195458,-0.00011739975736041186,0.12206545995445336,0.08841363677119891,0.0006211947752112235,0.0477408350685167,-0.024021370066790552,0.08405381597723709,0.010021320201975614,0.012205863272116788,0.0067167045517973764,-0.01867197006116989,-0.05689790616554979,0.014453672926039838,-0.016890024673506733,-0.001182335600339342,0.0015902285335714645,0.011811465094913107,0.005328835728577391,0.01902401261523195,0.018398875394764955,0.020064437660937504,0.03154422293254598,0.06460393047905748,0.015149752895036988,0.011441715619876265,0.020379200280662695,0.4417573493992258,0.8622310124312796,0.24331330637445828,0.11005793982619591,0.16189628424324087,0.044279616126057145,0.02209348893677625,-0.02417600962644342,-0.0825869557012949,0.042870598199221184,0.010242467663886864,0.026336512811733742,0.013895255922753851,0.020564861574427006,0.1448499087822228,-0.20907155723901194,-0.015033525069568753,0.015659509322974618,-0.001203751760315037,0.034304511262749054,0.01955042963880124,-0.03203102749503197,0.1386009848898741,-0.010382191676113487,0.058562752885450035,0.12955583765007347,0.008945788218402948,0.17915888910261887,-0.01498683020946578,0.0020431395183563798,2.9013642646509455e-05,-0.003349360606155337,0.005441155105366203,-0.03363944234542968,-0.030393085587323516,-0.08338998000317384,-0.01291778742135482,0.9007994110158828,0.037663261993725244,-0.012634759469887112,0.019692353394841752,0.00848478419954959,-0.00988605948138008,-0.015228141361999953,-0.012613949152023783,-0.0005835065420184061,0.027473104124715254,-0.007474630585782971,0.009135161946966919,-0.03619972782459802,-0.023216590494744397,-0.009770048115528018,-0.02948213003651459,-0.0002907533847344549,0.019137759917046495,-0.006382639579258219,-0.007643609283312771,-0.02313284476773125,0.0038435656002572312,-0.005075941111845267,-0.02012188482401655,-0.030032285023555906,-0.00315622138288215,-0.003387142967370053,-0.030444738325911977,-0.00147429196067881,0.08523004932228115
cat9,-0.1591946784042763,0.9324202124185813,0.14046809174076566,-0.032739724085788645,-0.07010890833954073,-0.4097535748457181,0.07159961331405872,-0.0009647175569063428,1.0,0.46889011073860565,0.36487305263096903,0.4340902298194117,0.3417425733720179,0.060990095038951454,0.015674960095101904,0.19324283006462206,0.044020158798955204,0.007941667247279691,-0.04358034445502046,0.022591904913198086,-0.021071682411569564,0.008489332952500392,0.22539774701152138,0.0387107536675681,-0.0824771430517438,-0.14944774981008732,-0.22075187345035438,0.055493105130067874,-0.07836513383437513,-0.08192409487162503,-0.05954941134773493,-0.04334621949730352,-0.028534899805716694,-0.03006824375448766,-0.011951928068271382,0.20788599163095303,-0.2351963533498501,-0.09698469744153608,-0.05289607133582525,0.035817304741063274,0.020809077547643797,-0.05462549259593386,-0.0910563086020207,-0.18266283149465537,-0.08219122862122566,-0.02369118535146612,-0.03363446238203751,-0.016482246549951604,-0.1468901312410557,-0.37983647882133986,-0.05319765417058326,-0.1401499553546834,-0.18419396457916465,-0.09965644130372836,-0.014814458620357464,-0.015588213967158133,0.08009982273269035,0.009613430452982127,0.0019599098789516703,0.005110475480201524,0.012053587474431903,-0.0013809847690415846,0.00341783769464227,0.0008461617622100125,-0.007686090966344784,0.005714620931166087,-0.00650791619726035,-0.003831900752080531,-0.017357983455578388,-0.008029748879227354,-0.013855112713819794,0.13747552001662283,-0.13157933711684486,0.005125209389521232,0.022600386844091724,-0.05105093202946888,0.043381418779138196,0.03535910608507635,0.16751259813117175,-0.1937051663611237,0.007450890870629753,-0.0675759384956774,0.004905626518833217,0.05590500979193907,0.04085020239126751,-0.04180637824768217,0.22746085093129392,-0.030101213067396278,0.06677016502472732,0.13526849546602518,-0.04085779369202884,-0.04426654572091073,0.012641131139006527,-0.0189632822404814,0.0001489097556333533,0.018898311908817887,0.007700356279907932,-0.044762313619174925,-0.037326631749462984,0.1054759523310675,0.7520220510426427,-0.0033173851237402294,-0.09685264744662529,-0.04557521737072197,-0.007871689342323261,0.052325008303067945,-0.009662535153136314,-0.026060942779780525,-0.018473212480840776,0.009477012834461574,-0.06196469525451545,-0.007123643377086128,-0.017048632624880433,-0.33957397553339674,-0.02458763208957148,-0.043677288889788494,-0.05659608884470987,-0.02556421065828701,0.0023208985175550475,-0.016392255043078088,-0.0073510411197479815,-0.06170943518815439,-0.043614569628790276,-0.030763185161167335,-0.057627740824421715,-0.06814799285895504,-0.050524742745213486,-0.05070885873867493,-0.049689732271784165,-0.016651101788964614,0.22187012692636346
cat10,-0.14209992628628285,0.4789947634905108,0.21525152528885205,-0.017150615774099886,-0.051304760204977366,-0.22761560661464525,0.09877623688155475,-0.007118350924019615,0.46889011073860565,1.0,0.3778036475211491,0.5684405483149424,0.34689174000140843,0.07256381823184832,0.023210597248509473,0.2709314284691048,0.06361215971963174,0.021402167714469563,-0.024884861424452568,0.02652689468388579,-0.011352948055617948,0.011424206742977767,0.12407736259967587,0.008067859882269829,-0.049219877796850144,-0.09082441002867792,-0.12547569179053655,0.01433018336699205,-0.04729674797839407,-0.049693980418297146,-0.046304090704419154,-0.026051398419486442,-0.014005332110591778,-0.017463748524063297,-0.008330202148321959,0.09881698873448228,-0.13440194407360642,-0.06452132489542832,-0.04295676016573803,-0.0007037820448171425,-0.01121486936353317,-0.030763922449639883,-0.05253173992840181,-0.10977233514559527,-0.04941010847346645,-0.01083300946599249,-0.017036589256749526,-0.010711442229692114,-0.0756452522508878,-0.21137496172685874,-0.027397259227190253,-0.0734003025608792,-0.09312026289127096,-0.04771449512946301,-0.006791095915287283,-0.006312542130127952,0.1147999660516986,0.014789015919321231,0.005316357428578869,0.010864792417019523,0.006570389481793559,0.003166410051721177,0.0008804790877336452,0.005647019403541526,0.009222177406957367,-0.014061963081142582,0.004857969189090617,-0.00010445406550178974,-0.004734664158828542,-0.004629002789951413,0.005301842019976728,0.14335331348305155,-0.11021224469223227,0.0014869940907544675,0.015764987940622685,-0.00783071277611528,0.022070558551078884,0.018983922941179013,0.20310604369062438,-0.23190600093949773,-0.036393906113922146,-0.05082355670478404,0.0014070962251605645,0.007131755016422322,0.03329337456960503,-0.021145329103738012,0.2866658771722169,0.0011357599115980196,0.09404512401667538,0.20931459819446896,0.01157137958751667,-0.03387579688623499,0.018387820292186267,-0.018493405890937082,-0.00033713672999576764,-0.0006582364944873141,-0.0014685916387286184,-0.030446124597837323,-0.013228863636573815,0.12402269303554261,0.7678706537512888,-0.004786066497176057,-0.07521048840083806,-0.017693053234028682,-0.006308159859327854,0.02439354242737348,-0.009495419374760719,-0.015553697420918628,-0.015775763463729983,0.007183462002257414,-0.04568925536457544,-0.006749974601323035,0.007325601842936418,-0.18239774872661646,-0.008943717975687484,-0.019603309165376892,-0.019665118590215136,-0.00918051470806635,-0.008655109302401048,0.003906498922350671,-0.008977004758758447,-0.029572995986058635,-0.02644190942404081,0.0016270137623834874,-0.017891552456561738,-0.03747600207738017,-0.02585652930831421,-0.02548135852003383,-0.023852644593158265,-0.009780302527951985,0.2821621420527692
