,count,mean,std,min,25%,50%,75%,max
cat1,188318.0,0.24834588302764474,0.4320546223176691,0.0,0.0,0.0,0.0,1.0
cat2,188318.0,0.43329368408755403,0.49553160478137204,0.0,0.0,0.0,1.0,1.0
cat3,188318.0,0.05482747267919158,0.22764379214170677,0.0,0.0,0.0,0.0,1.0
cat4,188318.0,0.318201127879438,0.4657792633191169,0.0,0.0,0.0,1.0,1.0
cat5,188318.0,0.34293588504550815,0.4746915423139518,0.0,0.0,0.0,1.0,1.0
cat6,188318.0,0.30068819762316934,0.45855852629029675,0.0,0.0,0.0,1.0,1.0
cat7,188318.0,0.024288703151053005,0.15394443119301784,0.0,0.0,0.0,0.0,1.0
cat8,188318.0,0.05864548264106458,0.23496059917036666,0.0,0.0,0.0,0.0,1.0
cat9,188318.0,0.39930330610987796,0.4897565206752391,0.0,0.0,0.0,1.0,1.0
cat10,188318.0,0.1492422391911554,0.35632803350632397,0.0,0.0,0.0,0.0,1.0
cat11,188318.0,0.10690427893244406,0.30899233173859564,0.0,0.0,0.0,0.0,1.0
cat12,188318.0,0.15130258392718698,0.3583445184551927,0.0,0.0,0.0,0.0,1.0
cat13,188318.0,0.10337301798022494,0.304446266720632,0.0,0.0,0.0,0.0,1.0
cat14,188318.0,0.01209124990707208,0.10929370985244541,0.0,0.0,0.0,0.0,1.0
cat15,188318.0,0.00018054567274503766,0.01343555114480728,0.0,0.0,0.0,0.0,1.0
cat16,188318.0,0.034383330324238785,0.1822122202939736,0.0,0.0,0.0,0.0,1.0
cat17,188318.0,0.006951008400683949,0.08308266087179558,0.0,0.0,0.0,0.0,1.0
cat18,188318.0,0.005241134676451534,0.07220590605576423,0.0,0.0,0.0,0.0,1.0
cat19,188318.0,0.00960078165655965,0.09751234352992759,0.0,0.0,0.0,0.0,1.0
cat20,188318.0,0.0010832740364702259,0.03289538417463965,0.0,0.0,0.0,0.0,1.0
cat21,188318.0,0.002193098907167663,0.04677927794006268,0.0,0.0,0.0,0.0,1.0
cat22,188318.0,0.0002283371743540182,0.015109144539877021,0.0,0.0,0.0,0.0,1.0
cat23,188318.0,0.16394078101933962,0.37022281017753506,0.0,0.0,0.0,0.0,1.0
cat24,188318.0,0.03367176796694952,0.1803833495418843,0.0,0.0,0.0,0.0,1.0
cat25,188318.0,0.09743625144702046,0.29655167398350757,0.0,0.0,0.0,0.0,1.0
cat26,188318.0,0.05946855850210814,0.23650020309056635,0.0,0.0,0.0,0.0,1.0
cat27,188318.0,0.10656442825433575,0.30855948609726175,0.0,0.0,0.0,0.0,1.0
cat28,188318.0,0.039189031319364055,0.1940449718228265,0.0,0.0,0.0,0.0,1.0
cat29,188318.0,0.019780371499272507,0.13924514843458863,0.0,0.0,0.0,0.0,1.0
cat30,188318.0,0.018893573636083644,0.13614956828553496,0.0,0.0,0.0,0.0,1.0
cat31,188318.0,0.02834567062097091,0.16595884981656797,0.0,0.0,0.0,0.0,1.0
cat32,188318.0,0.006430612049830605,0.07993305453132722,0.0,0.0,0.0,0.0,1.0
cat33,188318.0,0.005081829671088265,0.07110577702728023,0.0,0.0,0.0,0.0,1.0
cat34,188318.0,0.003101137437738294,0.05560158991347974,0.0,0.0,0.0,0.0,1.0
cat35,188318.0,0.0011310655380792065,0.033612382066926,0.0,0.0,0.0,0.0,1.0
cat36,188318.0,0.16995188988838028,0.375591525612125,0.0,0.0,0.0,0.0,1.0
cat37,188318.0,0.11995135887169575,0.3249055107824582,0.0,0.0,0.0,0.0,1.0
cat38,188318.0,0.10086661922917618,0.30115282822771583,0.0,0.0,0.0,0.0,1.0
cat39,188318.0,0.02615257171380325,0.15958931652798447,0.0,0.0,0.0,0.0,1.0
cat40,188318.0,0.043538057965781286,0.20406547136672243,0.0,0.0,0.0,0.0,1.0
cat41,188318.0,0.03791990144330335,0.19100307914867828,0.0,0.0,0.0,0.0,1.0
cat42,188318.0,0.00900073280302467,0.09444451798534467,0.0,0.0,0.0,0.0,1.0
cat43,188318.0,0.02234518208562113,0.14780389348402936,0.0,0.0,0.0,0.0,1.0
cat44,188318.0,0.0828492231225905,0.2756549162394206,0.0,0.0,0.0,0.0,1.0
cat45,188318.0,0.02297709194022876,0.14983078587372667,0.0,0.0,0.0,0.0,1.0
cat46,188318.0,0.004683567157680094,0.06827632174137178,0.0,0.0,0.0,0.0,1.0
cat47,188318.0,0.003722426958655041,0.06089819528873732,0.0,0.0,0.0,0.0,1.0
cat48,188318.0,0.0014284348814239743,0.037767737947172204,0.0,0.0,0.0,0.0,1.0
cat49,188318.0,0.04880574347646003,0.21546226908509836,0.0,0.0,0.0,0.0,1.0
cat50,188318.0,0.2692626302318419,0.4435778522738286,0.0,0.0,0.0,1.0,1.0
cat51,188318.0,0.006621778056266528,0.08110465487092555,0.0,0.0,0.0,0.0,1.0
cat52,188318.0,0.046798500408882844,0.21120757005294885,0.0,0.0,0.0,0.0,1.0
cat53,188318.0,0.08161195424760245,0.27377333905673085,0.0,0.0,0.0,0.0,1.0
cat54,188318.0,0.024193120147835045,0.1536487502306462,0.0,0.0,0.0,0.0,1.0
cat55,188318.0,0.0007699741925891312,0.02773779763962552,0.0,0.0,0.0,0.0,1.0
cat56,188318.0,0.0009664503658704957,0.031072841302991358,0.0,0.0,0.0,0.0,1.0
cat57,188318.0,0.016047324206926582,0.12565783477237855,0.0,0.0,0.0,0.0,1.0
cat58,188318.0,0.0012691298760607059,0.03560233020734025,0.0,0.0,0.0,0.0,1.0
cat59,188318.0,0.001593050053632685,0.03988133261426386,0.0,0.0,0.0,0.0,1.0
cat60,188318.0,0.0023683344130672585,0.04860800295947033,0.0,0.0,0.0,0.0,1.0
cat61,188318.0,0.003833940462409329,0.06180017511186019,0.0,0.0,0.0,0.0,1.0
cat62,188318.0,0.00023895750804490276,0.015456444479957561,0.0,0.0,0.0,0.0,1.0
cat63,188318.0,0.0004195031807899404,0.020477534631406565,0.0,0.0,0.0,0.0,1.0
cat64,188318.0,0.0002495778417357873,0.015796103241399528,0.0,0.0,0.0,0.0,1.0
cat65,188318.0,0.012011597404390445,0.10893751396999776,0.0,0.0,0.0,0.0,1.0
cat66,188318.0,0.04426555082360688,0.2056850419636657,0.0,0.0,0.0,0.0,1.0
cat67,188318.0,0.0036746354570460606,0.060507453694826685,0.0,0.0,0.0,0.0,1.0
cat68,188318.0,0.0007540436920528043,0.027449573972341997,0.0,0.0,0.0,0.0,1.0
cat69,188318.0,0.001630221221550781,0.04034318087359685,0.0,0.0,0.0,0.0,1.0
cat70,188318.0,0.00012213383744517253,0.011050772337090798,0.0,0.0,0.0,0.0,1.0
cat71,188318.0,0.05135993372911777,0.2207313970876463,0.0,0.0,0.0,0.0,1.0
cat72,188318.0,0.3716904385135781,0.48325758820359727,0.0,0.0,0.0,1.0,1.0
cat73,188318.0,0.18091207425737316,0.3853048308386569,0.0,0.0,0.0,0.0,2.0
cat74,188318.0,0.01918563281258297,0.13818022424809687,0.0,0.0,0.0,0.0,2.0
cat75,188318.0,0.18060939474718296,0.3847090426805507,0.0,0.0,0.0,0.0,2.0
cat76,188318.0,0.04120158455378668,0.21879920280147797,0.0,0.0,0.0,0.0,2.0
cat77,188318.0,2.993250777939443,0.10984990966691122,0.0,3.0,3.0,3.0,3.0
cat78,188318.0,1.0030533459361293,0.12339216591334255,0.0,1.0,1.0,1.0,3.0
cat79,188318.0,1.2544525748999034,0.7401605525332476,0.0,1.0,1.0,1.0,3.0
cat80,188318.0,2.4747342261493857,0.8766766650312541,0.0,1.0,3.0,3.0,3.0
cat81,188318.0,2.6832963391709765,0.7055504637720734,0.0,3.0,3.0,3.0,3.0
cat82,188318.0,1.1112108242440977,0.7097655349020769,0.0,1.0,1.0,1.0,3.0
cat83,188318.0,1.0557355112097622,0.7048672068172767,0.0,1.0,1.0,1.0,3.0
cat84,188318.0,1.703517454518421,0.747330158560695,0.0,2.0,2.0,2.0,3.0
cat85,188318.0,1.0066430187236484,0.1429219086090494,0.0,1.0,1.0,1.0,3.0
cat86,188318.0,1.8171019233424315,0.9681039297977613,0.0,1.0,1.0,3.0,3.0
cat87,188318.0,1.1671056404592233,0.5215470288317571,0.0,1.0,1.0,1.0,3.0
cat88,188318.0,0.20635308361388716,0.6094354803791793,0.0,0.0,0.0,0.0,3.0
cat89,188318.0,0.025998576875285423,0.17245540762795022,0.0,0.0,0.0,0.0,7.0
cat90,188318.0,0.05967034484223494,0.2592253459701628,0.0,0.0,0.0,0.0,6.0
cat91,188318.0,1.1733557068363087,2.047520111682546,0.0,0.0,0.0,1.0,7.0
cat92,188318.0,1.6750921313947684,2.356840821493101,0.0,0.0,0.0,5.0,6.0
cat93,188318.0,2.794910736095328,0.4433476005898793,0.0,3.0,3.0,3.0,4.0
cat94,188318.0,2.3727737125500483,0.9080137382449175,0.0,1.0,3.0,3.0,6.0
cat95,188318.0,2.5670089954226363,0.7420764023974414,0.0,2.0,3.0,3.0,4.0
cat96,188318.0,3.9401437993181747,0.49222948623302215,0.0,4.0,4.0,4.0,7.0
cat97,188318.0,2.4371541753841908,1.778027178908116,0.0,2.0,2.0,4.0,6.0
cat98,188318.0,1.2540012107180407,1.4741468584771085,0.0,0.0,0.0,3.0,4.0
cat99,188318.0,12.46451215497191,3.384187118928416,0.0,12.0,12.0,15.0,15.0
cat100,188318.0,7.455776930511156,3.3299161432919786,0.0,5.0,8.0,10.0,14.0
cat101,188318.0,2.555071740354082,3.8318942242029803,0.0,0.0,0.0,5.0,18.0
cat102,188318.0,0.09798850879894647,0.43582037619235936,0.0,0.0,0.0,0.0,8.0
cat103,188318.0,0.6453764377276734,1.1385988219881882,0.0,0.0,0.0,1.0,12.0
cat104,188318.0,5.568867553818541,2.3120840734740415,0.0,4.0,5.0,7.0,16.0
cat105,188318.0,4.7769517518240425,1.167578268860802,0.0,4.0,5.0,5.0,19.0
