feature,missing_ratio
cat1,0.0
cat98,0.0
cat96,0.0
cat95,0.0
cat94,0.0
cat93,0.0
cat92,0.0
cat91,0.0
cat90,0.0
cat89,0.0
cat88,0.0
cat87,0.0
cat86,0.0
cat85,0.0
cat84,0.0
cat83,0.0
cat82,0.0
cat81,0.0
cat80,0.0
cat79,0.0
cat78,0.0
cat77,0.0
cat76,0.0
cat75,0.0
cat74,0.0
cat73,0.0
cat72,0.0
cat71,0.0
cat70,0.0
cat69,0.0
cat68,0.0
cat97,0.0
cat99,0.0
cat2,0.0
cat100,0.0
cont13,0.0
cont12,0.0
cont11,0.0
cont10,0.0
cont9,0.0
cont8,0.0
cont7,0.0
cont6,0.0
cont5,0.0
cont4,0.0
cont3,0.0
cont2,0.0
cont1,0.0
cat116,0.0
cat115,0.0
cat114,0.0
cat113,0.0
cat112,0.0
cat111,0.0
cat110,0.0
cat109,0.0
cat108,0.0
cat107,0.0
cat106,0.0
cat105,0.0
cat104,0.0
cat103,0.0
cat102,0.0
cat101,0.0
cat67,0.0
cat66,0.0
cat65,0.0
cat64,0.0
cat31,0.0
cat30,0.0
cat29,0.0
cat28,0.0
cat27,0.0
cat26,0.0
cat25,0.0
cat24,0.0
cat23,0.0
cat22,0.0
cat21,0.0
cat20,0.0
cat19,0.0
cat18,0.0
cat17,0.0
cat16,0.0
cat15,0.0
cat14,0.0
cat13,0.0
cat12,0.0
cat11,0.0
cat10,0.0
cat9,0.0
cat8,0.0
cat7,0.0
cat6,0.0
cat5,0.0
cat4,0.0
cat3,0.0
cat32,0.0
cat33,0.0
cat34,0.0
cat50,0.0
cat63,0.0
cat62,0.0
cat61,0.0
cat60,0.0
cat59,0.0
cat58,0.0
cat57,0.0
cat56,0.0
cat55,0.0
cat54,0.0
cat53,0.0
cat52,0.0
cat51,0.0
cat49,0.0
cat35,0.0
cat48,0.0
cat47,0.0
cat46,0.0
cat45,0.0
cat44,0.0
cat43,0.0
cat42,0.0
cat41,0.0
cat40,0.0
cat39,0.0
cat38,0.0
cat37,0.0
cat36,0.0
cont14,0.0
