,abs_corr_with_target
cat80,0.47325728726873223
cat79,0.44117227537889553
cat101,0.35264610553406184
cat87,0.3463109783042612
cat57,0.3167356666807567
cat12,0.3110795321871313
cat10,0.2821621420527692
cat7,0.28021582959901636
cat89,0.2671065207193747
cat81,0.25919122210718787
cat2,0.22966531297670148
cat72,0.22822718052548982
cat11,0.2253465052972589
cat1,0.22210474388939894
cat13,0.22197014571139648
cat9,0.22187012692636346
cat3,0.19317951947013418
cat16,0.1910761736874649
cat90,0.1897891997117253
cat23,0.1602643732784706
