,count,mean,std,min,25%,50%,75%,max
season,17379.0,1.4820185281086369,1.119901543761664,0.0,0.0,1.0,2.0,3.0
year,17379.0,0.5025605615973301,0.5000078290910197,0.0,0.0,1.0,1.0,1.0
month,17379.0,6.537775476149376,3.4387757137501653,1.0,4.0,7.0,10.0,12.0
hour,17379.0,11.546751826917545,6.914405095264493,0.0,6.0,12.0,18.0,23.0
holiday,17379.0,0.028770355026181024,0.16716527638437126,0.0,0.0,0.0,0.0,1.0
weekday,17379.0,3.003682605443351,2.005771456110988,0.0,1.0,3.0,5.0,6.0
workingday,17379.0,0.6827205247712756,0.4654306335238829,0.0,0.0,1.0,1.0,1.0
weather,17379.0,0.7680533977789286,1.0913512211927991,0.0,0.0,0.0,2.0,3.0
temp,17379.0,20.376473905287995,7.894800971238598,0.8200000000000001,13.94,20.5,27.06,41.0
feel_temp,17379.0,23.788755106738016,8.592510781767972,0.0,16.665,24.24,31.06,50.0
humidity,17379.0,0.6272288394038782,0.19292983406291508,0.0,0.48,0.63,0.78,1.0
windspeed,17379.0,12.736539622532941,8.196795314376963,0.0,7.0015,12.998,16.997899999999998,56.9969
