,abs_corr_with_target
wtd_std_ThermalConductivity,0.7212710791834787
range_ThermalConductivity,0.6876539119498927
range_atomic_radius,0.6537590446423329
std_ThermalConductivity,0.6536319815469753
wtd_mean_Valence,0.6324010170934372
wtd_entropy_atomic_mass,0.6269304016930852
wtd_gmean_Valence,0.6156532964179624
wtd_entropy_atomic_radius,0.6034939833331939
number_of_elements,0.6010685709560271
range_fie,0.6007903800812855
mean_Valence,0.6000848649246683
wtd_std_atomic_radius,0.5991986591462273
entropy_Valence,0.5985909069318397
wtd_entropy_Valence,0.5896637026115097
wtd_std_fie,0.5820132554394766
gmean_Valence,0.5730680556134585
entropy_fie,0.5678169384811479
wtd_entropy_FusionHeat,0.563244268099409
std_atomic_radius,0.5596285739605947
entropy_atomic_radius,0.558937438415404
