dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
New Dataset,ridge,shap,0.05,1,42,,131,131,7,cat91|cat111|cont12|cat84|cont11|cont6|cat107
New Dataset,ridge,shap,0.1,1,42,,131,131,13,cat91|cat111|cont12|cat84|cont11|cont6|cat107|cat80|cat102|cat106|cat79|cont13|cat4
New Dataset,ridge,shap,0.15,1,42,,131,131,20,cat91|cat111|cont12|cat84|cont11|cont6|cat107|cat80|cat102|cat106|cat79|cont13|cat4|cat50|cat98|cat92|cat114|cont9|cat53|cat66
New Dataset,ridge,shap,0.25,1,42,,131,131,33,cat91|cat111|cont12|cat84|cont11|cont6|cat107|cat80|cat102|cat106|cat79|cont13|cat4|cat50|cat98|cat92|cat114|cont9|cat53|cat66|cat87|cat6|cat2|cat25|cat108|cat101|cat38|cat1|cat99|cat109|cat115|cat9|cat105
New Dataset,ridge,shap,0.5,1,42,,131,131,66,cat91|cat111|cont12|cat84|cont11|cont6|cat107|cat80|cat102|cat106|cat79|cont13|cat4|cat50|cat98|cat92|cat114|cont9|cat53|cat66|cat87|cat6|cat2|cat25|cat108|cat101|cat38|cat1|cat99|cat109|cat115|cat9|cat105|cont10|id|cont5|cat116|cont1|cat73|cont14|cat86|cat54|cat100|cat5|cat28|cont3|cont2|cat41|cat52|cat94|cat104|cat65|cat8|cat47|cat10|cat12|cat110|cat112|cat14|cat30|cat72|cat37|cont7|cat57|cat11|cat27
New Dataset,ridge,rfe,0.05,1,42,,131,131,7,cat80|cat79|cont9|cont1|cat101|cat57|cat38
New Dataset,ridge,rfe,0.1,1,42,,131,131,13,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87
New Dataset,ridge,shap,1.0,1,42,,131,131,131,id|cat1|cat2|cat3|cat4|cat5|cat6|cat7|cat8|cat9|cat10|cat11|cat12|cat13|cat14|cat15|cat16|cat17|cat18|cat19|cat20|cat21|cat22|cat23|cat24|cat25|cat26|cat27|cat28|cat29|cat30|cat31|cat32|cat33|cat34|cat35|cat36|cat37|cat38|cat39|cat40|cat41|cat42|cat43|cat44|cat45|cat46|cat47|cat48|cat49|cat50|cat51|cat52|cat53|cat54|cat55|cat56|cat57|cat58|cat59|cat60|cat61|cat62|cat63|cat64|cat65|cat66|cat67|cat68|cat69|cat70|cat71|cat72|cat73|cat74|cat75|cat76|cat77|cat78|cat79|cat80|cat81|cat82|cat83|cat84|cat85|cat86|cat87|cat88|cat89|cat90|cat91|cat92|cat93|cat94|cat95|cat96|cat97|cat98|cat99|cat100|cat101|cat102|cat103|cat104|cat105|cat106|cat107|cat108|cat109|cat110|cat111|cat112|cat113|cat114|cat115|cat116|cont1|cont2|cont3|cont4|cont5|cont6|cont7|cont8|cont9|cont10|cont11|cont12|cont13|cont14
New Dataset,ridge,rfe,0.15,1,42,,131,131,20,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87|cat5|cont2|cat73|cat72|cont14|cat1|cat44
New Dataset,ridge,rfe,0.25,1,42,,131,131,33,cat80|cat79|cont9|cont1|cat101|cat57|cat38|cat111|cat53|cont7|cat65|cat81|cat87|cat5|cont2|cat73|cat72|cont14|cat1|cat44|cat88|cat50|cat6|cat49|cat12|cat3|cat90|cat82|cat86|cat112|cat107|cont6|cat106
