dataset,strategy,k_pct,mean_jaccard_to_majority
Allstate Claims Severity,mi,0.25,0.6127681800127621
Allstate Claims Severity,mi,0.5,0.674446291474404
Allstate Claims Severity,mi,0.75,1.0
Allstate Claims Severity,mi,1.0,1.0
Allstate Claims Severity,rfe,0.25,0.4665383532180558
Allstate Claims Severity,rfe,0.5,0.5696759065511466
Allstate Claims Severity,rfe,0.75,1.0
Allstate Claims Severity,rfe,1.0,1.0
Allstate Claims Severity,shap,0.25,0.409122766307929
Allstate Claims Severity,shap,0.5,0.7209917706560445
Allstate Claims Severity,shap,0.75,1.0
Allstate Claims Severity,shap,1.0,1.0
Allstate Claims Severity,tree,0.25,0.6684924137555719
Allstate Claims Severity,tree,0.5,0.8194030749693493
Allstate Claims Severity,tree,0.75,1.0
Allstate Claims Severity,tree,1.0,1.0
