strategy,k_pct,mean_abs_pairwise_corr,mean_high_corr_pair_ratio_r_ge_0_8
custom_shap_rfe,0.05,0.45785522642144116,0.01
custom_shap_rfe,0.1,0.3818341396221738,0.017857142857142853
custom_shap_rfe,0.15,0.3648117628770884,0.036969696969696965
custom_shap_rfe,0.25,0.3339843456598265,0.036000000000000004
custom_shap_rfe,0.5,0.3733270372743236,0.056025641025641025
custom_shap_rfe,1.0,0.34465392836952774,0.049074074074074076
hybrid_fi_custom_shap_rfe,0.05,0.5680403897120001,0.0
hybrid_fi_custom_shap_rfe,0.1,0.43650421142900714,0.039999999999999994
hybrid_fi_custom_shap_rfe,0.15,0.39394724417157817,0.038181818181818185
hybrid_fi_custom_shap_rfe,0.25,0.3277212368839006,0.03757894736842105
hybrid_fi_custom_shap_rfe,0.5,0.35105155687450995,0.052897435897435896
hybrid_fi_custom_shap_rfe,1.0,0.0,0.0
native_fi,0.05,0.40369423033198715,0.0
native_fi,0.1,0.34931051451652384,0.006428571428571428
native_fi,0.15,0.3522615089836104,0.039696969696969696
native_fi,0.25,0.3257039104206749,0.034210526315789476
native_fi,0.5,0.3255555246038087,0.0433076923076923
native_fi,1.0,0.34465392836952774,0.049074074074074076
