dataset,model,strategy,k_pct,fold,repeat_seed,rmse,mae,mape,mse,selection_time_s,train_time_s,predict_time_s,total_time_s
Allstate,xgboost,native_fi,0.05,2,42,2145.549326212542,1435.4252562224226,0.7903604758325186,4603381.911211093,1.4429970178753138e-06,7.8290725909755565,0.04033375202561729,7.869407785998192
Allstate,xgboost,native_fi,0.1,2,42,2020.3714599389782,1334.8744985515948,0.7211602844234243,4081900.8361359583,1.4329853001981974e-06,7.9908587929967325,0.06504616001620889,8.055906385998242
Allstate,xgboost,native_fi,0.15,2,42,1917.898792220558,1234.2519019412912,0.6333042217075778,3678335.7772010756,1.1820229701697826e-06,8.15246070700232,0.09260362299392,8.24506551201921
Allstate,xgboost,native_fi,0.25,2,42,1885.7994097084045,1200.3847609184998,0.6051078379913735,3556239.4136565668,1.802982296794653e-06,8.91786386698368,0.14776251398143359,9.06562818394741
Allstate,xgboost,native_fi,0.5,2,42,1854.0651890106153,1176.9620423714146,0.5867593393328129,3437557.725100969,1.7129932530224323e-06,9.346062261989573,0.30847519301460125,9.654539167997427
Allstate,xgboost,baseline,1.0,2,42,1859.4486456263733,1179.4440419780308,0.5865747713567251,3457549.265721754,2.3449829313904047e-06,10.580314752005506,0.627515386993764,11.207832483982202
Allstate,xgboost,native_fi,0.05,1,42,2146.4531074338074,1429.7515731720775,0.7880557331962278,4607260.942412249,1.994019839912653e-06,7.368693637021352,0.04239165998296812,7.41108729102416
Allstate,xgboost,native_fi,0.1,1,42,2020.7314420902808,1336.8454606362654,0.7220017819231632,4083355.5610522656,1.3720127753913403e-06,8.236867580009857,0.0660464400134515,8.302915392036084
Allstate,xgboost,native_fi,0.15,1,42,1968.6553057771926,1275.0640057318599,0.6647737326531523,3875603.7129646917,1.2519885785877705e-06,8.123269085015636,0.09698840699275024,8.220258743996965
Allstate,xgboost,native_fi,0.25,1,42,1894.016497489177,1206.0735394217104,0.6064246835440462,3587298.4927611696,1.5629921108484268e-06,8.646689673012588,0.13458400598028675,8.781275241984986
Allstate,xgboost,native_fi,0.5,1,42,1901.975747979879,1193.010447194011,0.5925830990492116,3617511.7459036205,1.5329860616475344e-06,9.589442242024234,0.24456937800277956,9.834013153013075
Allstate,xgboost,baseline,1.0,1,42,1905.596226515971,1191.973502289311,0.5912079327220725,3631296.978511908,3.4660042729228735e-06,10.865069147985196,0.46837518698885106,11.33344780097832
Allstate,xgboost,native_fi,0.05,3,42,2314.0873148067117,1458.351539210706,0.8196476802553185,5355000.1005493365,1.3329845387488604e-06,7.871813192003174,0.04116891897865571,7.912983443966368
Allstate,xgboost,native_fi,0.1,3,42,2235.5687157620796,1369.2567098550464,0.7556490981230607,4997767.482894113,1.7540005501359701e-06,7.911076484975638,0.05810940399533138,7.969187642971519
Allstate,xgboost,native_fi,0.15,3,42,2108.506473532951,1289.1127201014854,0.6859158285982141,4445799.548930362,2.1439918782562017e-06,8.400547060999088,0.06274075398687273,8.463289958977839
Allstate,xgboost,native_fi,0.25,3,42,2006.3152351287413,1230.6295366080778,0.6332693633605646,4025300.822709697,1.7840065993368626e-06,8.364053458994022,0.1511785259936005,8.515233768994221
Allstate,xgboost,native_fi,0.5,3,42,1974.8275259215343,1210.7861239053602,0.6148507119911492,3899943.7571373684,1.5429977793246508e-06,9.075573312002234,0.3077808389789425,9.383355693978956
Allstate,xgboost,baseline,1.0,3,42,1975.132554318461,1211.9996723106985,0.6148138782112065,3901148.607128568,2.6049965526908636e-06,10.60758442801307,0.615044460981153,11.222631493990775
Allstate,xgboost,custom_shap_rfe,0.05,1,42,2285.6950822852623,1406.7844474884528,0.7110757426290504,5224402.009183032,3.636899054981768e-05,7.372212354996009,0.043334440008038655,7.415583163994597
Allstate,xgboost,custom_shap_rfe,0.1,1,42,2098.9203571235903,1301.0797100036673,0.6554347508118428,4405466.66554782,1.28840038087219e-05,7.458660703996429,0.06367302499711514,7.522346612997353
Allstate,xgboost,custom_shap_rfe,0.15,1,42,1929.591567454607,1210.1286413545697,0.6045933878802515,3723323.617191927,9.137002052739263e-06,7.584246724989498,0.11232912898412906,7.69658499097568
Allstate,xgboost,custom_shap_rfe,0.25,1,42,1922.1624404605602,1203.2920495831045,0.5969022660896022,3694708.4475172968,1.0960997315123677e-05,7.776108386984561,0.143708282004809,7.919827629986685
Allstate,xgboost,custom_shap_rfe,0.5,1,42,1892.7859431176664,1192.303314052637,0.591688219667109,3582638.6264638337,1.0400020983070135e-05,8.64585146101308,0.3045478689891752,8.950409730023239
Allstate,xgboost,custom_shap_rfe,0.05,2,42,2188.6466921193864,1380.488695552181,0.6978662887001441,4790174.342925132,3.098900197073817e-05,7.237410898000235,0.04512816897477023,7.282570055976976
Allstate,xgboost,custom_shap_rfe,0.1,2,42,2033.139333779046,1295.5318314990982,0.6505333913837623,4133655.5505595026,1.15610018838197e-05,7.401523445005296,0.06826792497304268,7.469802930980222
Allstate,xgboost,custom_shap_rfe,0.15,2,42,1873.5488051219038,1193.4854782218576,0.5970370686759017,3510185.125173713,1.0320014553144574e-05,7.35280059100478,0.0928597659803927,7.445670676999725
Allstate,xgboost,custom_shap_rfe,0.25,2,42,1867.660885759358,1184.3300770925362,0.5895875098229678,3488157.18419543,1.0459974873811007e-05,7.74451680900529,0.16468742600409314,7.909214694984257
