dataset,model,strategy,k_pct,mean_rmse,std_rmse,mean_mae,mean_mape,mean_selection_time_s,mean_total_time_s
Allstate,xgboost,baseline,1.0,1913.1240324669293,71.89424237585483,1195.690562954014,0.6125880440672894,2.790218568406999e-06,9.937956585658249
Allstate,xgboost,custom_shap_rfe,0.05,2277.812254126444,85.57380178383713,1408.6426088649957,0.7291189247578355,3.501323808450252e-05,7.51634885635518
Allstate,xgboost,custom_shap_rfe,0.1,2088.8803003133307,73.64786172881915,1308.9146744527943,0.6756824444672124,1.1934142676182092e-05,7.942085475045023
Allstate,xgboost,custom_shap_rfe,0.15,1932.7930305340321,71.73633874380145,1211.5703160664325,0.6233835461588789,1.115076069254428e-05,8.301488281580387
Allstate,xgboost,custom_shap_rfe,0.25,1925.7040847046994,72.90107873155574,1202.3397501965333,0.6165787231852335,1.1527242604643106e-05,8.500247825059922
Allstate,xgboost,custom_shap_rfe,0.5,1913.026792760443,71.65748209165406,1195.8559927262359,0.6128382644577374,1.0415082215331495e-05,9.310281703861547
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.05,2224.6319761213226,84.85766565151737,1391.7987369957948,0.7389448722573866,123.44515397363925,129.6878371019027
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.1,2016.117238223716,61.92039736867847,1292.588672893576,0.6935140161964827,127.41236647515966,135.12358577779494
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.15,1932.2350227646818,72.11227742047029,1211.5596529604989,0.6234145038369813,120.22461652830185,127.91651090434578
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.25,1932.2617604297632,71.5590626779539,1211.8871304960778,0.6274860862177463,144.6128977629397,152.2467340064398
Allstate,xgboost,hybrid_fi_custom_shap_rfe,0.5,1913.7163246962425,71.87538847231914,1195.7562336836752,0.6125293879914107,171.5494928588014,180.41552160665685
Allstate,xgboost,native_fi,0.05,2198.792671238839,75.83227384246686,1435.9877391103175,0.8102592550752586,1.5403400175273419e-06,7.863354526699986
Allstate,xgboost,native_fi,0.1,2062.393057602736,76.14661051918773,1338.7326021058352,0.7443423291528678,1.3479782501235604e-06,7.958640587655827
Allstate,xgboost,native_fi,0.15,1978.0779944720123,73.10126534655579,1257.6818947779072,0.6676845917878321,1.4891201863065362e-06,8.102521739318036
Allstate,xgboost,native_fi,0.25,1929.3833314512337,75.3622018404389,1213.1650930949863,0.629947900203197,1.4827813720330597e-06,8.30533422331966
Allstate,xgboost,native_fi,0.5,1912.917696522928,71.85307763611392,1195.6842581844048,0.6125604626927089,2.02667957637459e-06,8.932394180083065
