dataset,model,strategy,fold,repeat_seed,corr_prune_threshold,ranked_features,ranked_scores
Bike Sharing,ridge,mi,1,42,0.9,hour|feel_temp|temp|humidity|month|season|year|weekday|workingday|weather|windspeed|holiday,0.616265850488|0.157151893741|0.142777505744|0.0877350802746|0.0793638870613|0.0672220174003|0.0538241306115|0.0300236113539|0.0215508699282|0.018476276095|0.0155219228321|0.00181963636583
Bike Sharing,ridge,rfe,1,42,0.9,temp|hour|year|humidity|season|feel_temp|month|holiday|windspeed|weekday|workingday|weather,12|11|10|9|8|7|6|5|4|3|2|1
Bike Sharing,ridge,tree,1,42,0.9,hour|temp|workingday|year|feel_temp|humidity|month|season|weather|weekday|windspeed|holiday,0.54766272634|0.0840200344461|0.0801423352747|0.0781782707201|0.0769319015577|0.0379491795096|0.0229218979846|0.0219800109011|0.0209435412066|0.0140139069873|0.0121038721795|0.00315232289293
Bike Sharing,ridge,shap,1,42,0.9,feel_temp|hour|year|humidity|season|month|temp|weekday|windspeed|weather|workingday|holiday,64.9185152865|47.1121688046|41.5486603732|25.2541101553|16.3894430077|13.5390442079|11.4122778983|10.347259345|9.14787763123|3.28982354466|2.59625837541|0.54498388522
Bike Sharing,ridge,mi,2,42,0.9,hour|temp|feel_temp|humidity|month|season|year|weekday|weather|workingday|windspeed|holiday,0.633845717911|0.143635482459|0.133834345259|0.0971162824382|0.0646447153062|0.0509524662203|0.0406748431537|0.0338694411886|0.0245400828331|0.0180125159572|0.00498088464778|0.000484675234303
Bike Sharing,ridge,rfe,2,42,0.9,hour|temp|year|humidity|season|feel_temp|month|weekday|holiday|windspeed|weather|workingday,12|11|10|9|8|7|6|5|4|3|2|1
Bike Sharing,ridge,tree,2,42,0.9,hour|workingday|feel_temp|temp|year|humidity|weather|month|season|weekday|windspeed|holiday,0.55994929681|0.0827992023679|0.0762715913184|0.0759021893288|0.0754902112623|0.0354719697|0.0226320411108|0.0223756108072|0.0195476431576|0.014762739107|0.010833868679|0.00396363635095
Bike Sharing,ridge,shap,2,42,0.9,hour|temp|year|humidity|season|feel_temp|windspeed|weather|month|holiday|workingday|weekday,47.2295619218|43.5772810512|35.5092548598|32.8913021811|20.9381801349|13.999599362|6.40821766963|4.94160766964|3.64943541734|1.77734176836|1.71185710565|1.40645663586
Communities and Crime,ridge,mi,1,42,0.9,49|55|48|50|8|73|54|32|33|45|51|20|72|7|24|22|46|43|82|34|78|17|74|76|37|35|79|60|88|27|10|41|15|42|68|25|125|28|95|91|29|75|36|90|57|5|44|62|23|67|83|94|119|56|65|98|38|12|30|77|31|63|96|64|87|18|85|16|71|40|59|13|58|47|66|89|97|19|26|84|11|93|6|86|14|61|99|120|52|21|70|118|69|80|100|92|81|53|39|9,0.452488403394|0.42197560129|0.372179817815|0.363748518816|0.343591608078|0.326201019868|0.324757960424|0.317198602491|0.316325076439|0.315004766795|0.280907355645|0.276171882276|0.258943117589|0.249277279487|0.239551522617|0.224750917259|0.219889087604|0.216757715971|0.20203716488|0.187558925515|0.184162697266|0.172029706733|0.162450752625|0.15990018311|0.159429045579|0.148130399935|0.142880317368|0.128060418949|0.127140613119|0.116305163274|0.116270572885|0.115576827738|0.113711626366|0.113075089191|0.111312361675|0.106851138798|0.103362354431|0.102060283965|0.0993824471753|0.0960787279325|0.094864590089|0.0928238588982|0.0925981318888|0.0910930705367|0.0909979533233|0.0892376332897|0.0871273994717|0.0851944935603|0.078991749978|0.0783461448977|0.0770658350866|0.0736107130669|0.0731755579634|0.070213132715|0.06969797516|0.0691598402386|0.0685220993459|0.0680905417279|0.0664277554004|0.0662732082899|0.0643603214882|0.060523545019|0.0589150929479|0.058026067612|0.0575883058856|0.0566978099576|0.0559248040901|0.0555347880092|0.053555970639|0.0518599626283|0.0516483028336|0.0464956620546|0.0451017479476|0.0448353382394|0.0427584002771|0.040816451452|0.0369495871616|0.0364788896574|0.0308691370762|0.0284573568698|0.0282749759332|0.0281309932968|0.0271106868691|0.025042035107|0.0214995487856|0.0169187247664|0.0162209794237|0.0146627536975|0.0146248708496|0.013725869954|0.0107082743001|0.00770691965919|0.00384574310869|0|0|0|0|0|0|0
Communities and Crime,ridge,rfe,1,42,0.9,7|73|46|45|18|21|44|12|84|85|68|67|69|47|78|72|71|20|76|48|33|25|26|90|87|66|63|64|96|17|24|70|50|10|65|79|61|57|58|15|16|23|93|53|38|52|14|94|43|19|39|41|88|9|8|32|54|80|55|13|95|56|77|31|27|42|100|97|49|98|30|40|36|75|74|120|59|89|34|35|81|11|29|125|118|82|5|28|51|119|6|91|62|92|37|60|99|86|83|22,100|99|98|97|96|95|94|93|92|91|90|89|88|87|86|85|84|83|82|81|80|79|78|77|76|75|74|73|72|71|70|69|68|67|66|65|64|63|62|61|60|59|58|57|56|55|54|53|52|51|50|49|48|47|46|45|44|43|42|41|40|39|38|37|36|35|34|33|32|31|30|29|28|27|26|25|24|23|22|21|20|19|18|17|16|15|14|13|12|11|10|9|8|7|6|5|4|3|2|1
Communities and Crime,ridge,tree,1,42,0.9,55|49|8|48|7|50|20|54|51|45|46|73|79|76|43|16|95|33|29|77|10|31|74|40|39|67|22|32|92|41|83|91|81|94|30|93|72|53|82|21|37|125|118|78|52|57|65|56|11|71|24|69|35|27|70|60|98|119|23|66|97|42|100|28|19|15|26|59|44|120|80|68|5|17|58|14|34|47|63|96|75|9|6|36|25|99|64|18|86|84|13|12|87|90|89|38|62|85|88|61,0.224321455069|0.133421890405|0.0905990898691|0.0535857060387|0.0471030279735|0.0170063372144|0.0163489210622|0.0156662816197|0.0132182949645|0.0130907571144|0.0123821909226|0.0120450800967|0.0101213907346|0.00929447783658|0.00850518721154|0.00768122622538|0.00740838427209|0.00720295773914|0.00693220584265|0.00626534880772|0.00615167799389|0.005798864623|0.00579621184175|0.00566834934536|0.005663141049|0.0056437026701|0.00554857375541|0.00531625932039|0.00497365815739|0.00484502901289|0.00481805163352|0.00469514228701|0.00456490474018|0.00449668136609|0.00437413918236|0.00420664417169|0.00399170670189|0.00398192811484|0.00390298211734|0.00384782036574|0.00383404283736|0.00383282005205|0.00382484309238|0.00381237067339|0.0038099120823|0.00379699772427|0.00376160637522|0.00374650352174|0.00373613618568|0.00373166635066|0.0037241580783|0.00364336089132|0.0036395944755|0.0036094122354|0.0035523676582|0.00354850736333|0.00353760487061|0.00353516737379|0.00350371545007|0.00349353668391|0.00348749503757|0.00346341820994|0.00345671170324|0.00342834694971|0.00342411766701|0.00342120722742|0.00340846732158|0.00337907716046|0.00337448452075|0.00332648131507|0.00324937457537|0.00323231286191|0.00318836388069|0.00316961189008|0.00311659147126|0.00309341004436|0.00303510638754|0.00295885006419|0.00290987965404|0.00289131803989|0.00286856173692|0.00286499525998|0.00284966085193|0.00283784256718|0.00283358556209|0.00279014972239|0.00273233438123|0.00262911115845|0.00257160483577|0.00249106988297|0.00248419884048|0.00245966546608|0.00244570718006|0.00242011244069|0.00240068829288|0.00236099392278|0.00234834386261|0.00233826119138|0.00205884238446|0.00203964103227
