dataset,model,strategy,k_pct,fold,repeat_seed,mape,mse,rmse,selection_time_s,train_time_s,predict_time_s,total_time_s
Bike Sharing,ridge,mi,0.25,1,42,3.317035540885504,20477.31288297195,143.09896185148216,2.475285126000017,0.0135059809999802,0.0001175820000298,2.4889816259999407
Bike Sharing,ridge,mi,0.5,1,42,3.5302111925282214,18860.04183314346,137.3318675076672,2.475285126000017,0.0009778359999472,8.106299992505228e-05,2.4763597450000816
Bike Sharing,ridge,mi,0.75,1,42,3.5349543688971337,18786.19770028444,137.06275095840022,2.475285126000017,0.0182224860000133,0.000117672999977,2.493631034000145
Bike Sharing,ridge,mi,1.0,1,42,3.5405295110085357,18806.805237004784,137.13790590863192,0.0,0.0012563519999275,0.0001050180001129,0.0013684539999303
Bike Sharing,ridge,rfe,0.25,1,42,3.732003508230105,20845.929115560648,144.38119377384524,0.087403274999815,0.0009324709999418,8.607299992036133e-05,0.0884320769998794
Bike Sharing,ridge,rfe,0.5,1,42,3.525687257466415,18838.688850622704,137.2541032196222,0.087403274999815,0.0129319870000017,0.0001010010000754,0.1004439969999566
Bike Sharing,ridge,rfe,0.75,1,42,3.526970457114732,18825.513330635597,137.2060980081993,0.087403274999815,0.0010453740001139,8.191500000975793e-05,0.0885380979998444
Bike Sharing,ridge,rfe,1.0,1,42,3.5405295110085357,18806.805237004784,137.13790590863192,0.0,0.0012563519999275,0.0001050180001129,0.0013684539999303
Bike Sharing,ridge,tree,0.25,1,42,4.221617517560909,24593.764972903216,156.8239936135514,4.3861331289999725,0.0009972629998173,8.440000010523363e-05,4.387225581999928
Bike Sharing,ridge,tree,0.5,1,42,3.4726037637944858,19239.841730998756,138.70775656393104,4.3861331289999725,0.0009199070000249,8.111300007840327e-05,4.387140762000172
Bike Sharing,ridge,tree,0.75,1,42,3.5262392265905373,18821.531312216863,137.1915861567934,4.3861331289999725,0.0011671539998587,8.875799994711997e-05,4.38740209499997
Bike Sharing,ridge,tree,1.0,1,42,3.5405295110085357,18806.805237004784,137.13790590863192,0.0,0.0012563519999275,0.0001050180001129,0.0013684539999303
Bike Sharing,ridge,shap,0.25,1,42,3.732003508230105,20845.929115560648,144.38119377384524,0.0345668340000884,0.0008784389999618,7.655500007786031e-05,0.0355311549999441
Bike Sharing,ridge,shap,0.5,1,42,3.509166145204161,18821.89077179881,137.19289621477787,0.0345668340000884,0.000814026999933,7.067399997140456e-05,0.0354571650000252
Bike Sharing,ridge,shap,0.75,1,42,3.524670599520399,18841.68262192824,137.26500873102452,0.0345668340000884,0.0010050680000404,7.448099995599478e-05,0.0356533150002178
Bike Sharing,ridge,shap,1.0,1,42,3.5405295110085357,18806.805237004784,137.13790590863192,0.0,0.0012563519999275,0.0001050180001129,0.0013684539999303
Bike Sharing,ridge,mi,0.25,2,42,3.136770704605536,21334.65258962261,146.0638647634062,3.2743528600001355,0.0009586799999397,8.153399994625943e-05,3.275404466000282
Bike Sharing,ridge,mi,0.5,2,42,3.4590347920130866,19560.66758074949,139.85945652958006,3.2743528600001355,0.0007936780000363,8.972000000539992e-05,3.2752419990001727
Bike Sharing,ridge,mi,0.75,2,42,3.461873469581044,19521.64071373041,139.71986513638785,3.2743528600001355,0.012041414999885,8.014199988792825e-05,3.2864793150001788
Bike Sharing,ridge,mi,1.0,2,42,3.4738036428021006,19479.19164976171,139.56787470532646,0.0,0.0011242120001497,8.632300000499527e-05,0.0012180900000657
Bike Sharing,ridge,rfe,0.25,2,42,3.5076728083249864,21068.238256135464,145.14902085834223,0.1295205199999145,0.0009542620000502,8.440999999947962e-05,0.130569320999939
Bike Sharing,ridge,rfe,0.5,2,42,3.465420787632182,19563.05099072204,139.86797700232185,0.1295205199999145,0.0136287919999631,8.252600014202471e-05,0.1432374479998088
Bike Sharing,ridge,rfe,0.75,2,42,3.470748208491742,19512.02370003645,139.68544555549246,0.1295205199999145,0.000986211999816,7.973099991431809e-05,0.1305921829998624
Bike Sharing,ridge,rfe,1.0,2,42,3.4738036428021006,19479.19164976171,139.56787470532646,0.0,0.0011242120001497,8.632300000499527e-05,0.0012180900000657
Bike Sharing,ridge,tree,0.25,2,42,3.3446762419742257,22644.67194006421,150.48146709832483,4.122623016000034,0.0008999690001019,7.794699990881782e-05,4.123612424000157
Bike Sharing,ridge,tree,0.5,2,42,3.444964308098333,19934.160612340445,141.18838695990704,4.122623016000034,0.0008141869998326,0.0160905390000607,4.139534886000092
Bike Sharing,ridge,tree,0.75,2,42,3.467015643229493,19545.125295043395,139.80388154498212,4.122623016000034,0.0010368579999067,7.76169999880949e-05,4.123747830000184
Bike Sharing,ridge,tree,1.0,2,42,3.4738036428021006,19479.19164976171,139.56787470532646,0.0,0.0011242120001497,8.632300000499527e-05,0.0012180900000657
Bike Sharing,ridge,shap,0.25,2,42,3.5076728083249864,21068.238256135464,145.14902085834223,0.0354416939999282,0.0010060390000035,9.894699996948476e-05,0.0365593739998075
Bike Sharing,ridge,shap,0.5,2,42,3.4511841355836834,19546.31616658302,139.80814055906407,0.0354416939999282,0.0138530739998259,9.510900008535828e-05,0.0493960699998297
Bike Sharing,ridge,shap,0.75,2,42,3.453312092450301,19502.98350026581,139.65308267369474,0.0354416939999282,0.0009393630000431,7.239599995045864e-05,0.0364617200000338
Bike Sharing,ridge,shap,1.0,2,42,3.4738036428021006,19479.19164976171,139.56787470532646,0.0,0.0011242120001497,8.632300000499527e-05,0.0012180900000657
Bike Sharing,ridge,mi,0.25,3,42,3.6413353841054583,21170.9099227384,145.50226775806073,3.115746511999987,0.0079002460001902,9.047100002135268e-05,3.1237474080000998
Bike Sharing,ridge,mi,0.5,3,42,3.842132136625022,19172.430515202912,138.4645460585594,3.115746511999987,0.000858461000007,7.873899994592648e-05,3.1166905540001157
Bike Sharing,ridge,mi,0.75,3,42,3.863767213726278,19160.6437004739,138.42197694179166,3.115746511999987,0.0120152049998978,9.153299993158726e-05,3.127858940000124
Bike Sharing,ridge,mi,1.0,3,42,3.868760510142491,18976.83506741771,137.75643385126412,0.0,0.0011525559998517,8.527099998900667e-05,0.0012434479999683
Bike Sharing,ridge,rfe,0.25,3,42,4.1313817199052725,20753.530145999328,144.06085570341213,0.115168007999955,0.0008296460000565,7.686599997214216e-05,0.1160841869998421
Bike Sharing,ridge,rfe,0.5,3,42,3.878881745752549,19038.41049774861,137.97974669402973,0.115168007999955,0.0007407179998608,6.977099997129699e-05,0.1159833179999623
Bike Sharing,ridge,rfe,0.75,3,42,3.8713317074098974,18975.34819741516,137.7510370103077,0.115168007999955,0.0009601629999451,7.451099986610643e-05,0.1162106069998571
Bike Sharing,ridge,rfe,1.0,3,42,3.868760510142491,18976.83506741771,137.75643385126412,0.0,0.0011525559998517,8.527099998900667e-05,0.0012434479999683
Bike Sharing,ridge,tree,0.25,3,42,3.951228236194284,22261.98440109538,149.20450529757932,4.226628089000087,0.0010469569999713,8.325699991473812e-05,4.2277695140001015
Bike Sharing,ridge,tree,0.5,3,42,3.8999023506464807,19435.986416660457,139.41300662657144,4.226628089000087,0.0161202440001488,0.0001367680001749,4.242891594999946
Bike Sharing,ridge,tree,0.75,3,42,3.8897285914221857,18980.41418884306,137.7694239983715,4.226628089000087,0.0010917909999079,8.24349999675178e-05,4.227810071000022
Bike Sharing,ridge,tree,1.0,3,42,3.868760510142491,18976.83506741771,137.75643385126412,0.0,0.0011525559998517,8.527099998900667e-05,0.0012434479999683
Bike Sharing,ridge,shap,0.25,3,42,4.1313817199052725,20753.530145999328,144.06085570341213,0.0365534320001188,0.0009870829999272,8.206500001506356e-05,0.0376335210000888
Bike Sharing,ridge,shap,0.5,3,42,3.8778532915414528,19074.1701002206,138.10926869772572,0.0365534320001188,0.0008387240000047,8.031199990909954e-05,0.0374773860003188
Bike Sharing,ridge,shap,0.75,3,42,3.8871907379066974,19022.830009235327,137.92327580664303,0.0365534320001188,0.0012198930000977,8.602299999438401e-05,0.0378696570001011
Bike Sharing,ridge,shap,1.0,3,42,3.868760510142491,18976.83506741771,137.75643385126412,0.0,0.0011525559998517,8.527099998900667e-05,0.0012434479999683
