dataset,model,strategy,k_pct,mean_mape,mean_mse,std_mape,median_mape,mean_rmse,mean_selection_time_s,mean_train_time_s,mean_predict_time_s,mean_total_time_s
Bike Sharing,extratrees,mi,0.05,1.3612132980384144,16497.50379209212,0.023483864309548234,1.361112534778579,128.43952616147365,0.5094374130003416,0.20615117975012248,0.0809368284999436,0.796796558499409
Bike Sharing,extratrees,mi,0.15,1.0351210309935894,12951.797950125783,0.026632304765392727,1.0307162654120496,113.7988180000448,0.5094374130003416,0.3498344162489957,0.10323613675154772,0.9627672459992027
Bike Sharing,extratrees,mi,0.25,1.0198999551876957,15877.564541786378,0.08072001251024592,1.013049260887994,125.9672006021782,1.4824369016200718,0.872978585319961,0.15034564601995495,2.509090453460085
Bike Sharing,extratrees,mi,0.5,0.8068381927180952,9625.592307280125,0.050385405187793636,0.81532037228981,98.07271005222503,1.4824369016200718,1.2214820882798996,0.16968007152000605,2.8840369198000735
Bike Sharing,extratrees,mi,0.75,0.3256454711358141,1960.8733994126378,0.03230827089179836,0.3196528410170917,44.182325207493726,1.4824369016200718,1.681393241820001,0.18425233842005123,3.36249322244003
Bike Sharing,extratrees,mi,1.0,0.29849136312896307,1649.6249622571643,0.016194427748435006,0.2968250813890497,40.57425592482153,0.0,2.0244827172000215,0.17158052253994807,2.2068090649400074
Bike Sharing,extratrees,rfe,0.05,4.637524868957893,24546.696279583695,2.2081311850389707,5.643884550350651,155.92214117193183,0.016969075748420374,0.2560652740012301,0.0952669639991654,0.36851395074791066
Bike Sharing,extratrees,rfe,0.15,1.030977473962493,12878.348015814026,0.02209334511736456,1.0266878214005961,113.47598294307362,0.016969075748420374,0.3604081195016988,0.1715112692509137,0.5490951754982234
Bike Sharing,extratrees,rfe,0.25,0.9238207590818732,9854.047903118731,0.06807927177582924,0.9209433644480387,99.22559736697393,0.05809598457992246,0.563492220959979,0.12923429204000964,0.7521785527199654
Bike Sharing,extratrees,rfe,0.5,0.8070845644796821,9523.056163430889,0.05031856661026102,0.8013347430178281,97.5533550879677,0.05809598457992246,1.2280369137000526,0.1670476438200239,1.4629128890398853
Bike Sharing,extratrees,rfe,0.75,0.33795092529645615,2022.4748938306484,0.021334243869979817,0.33833611539949515,44.9251788633548,0.05809598457992246,1.67366795792002,0.18390010473993695,1.927491216939902
Bike Sharing,extratrees,rfe,1.0,0.29849136312896307,1649.6249622571643,0.016194427748435006,0.2968250813890497,40.57425592482153,0.0,2.0244827172000215,0.17158052253994807,2.2068090649400074
Bike Sharing,extratrees,shap,0.05,1.3612132980384144,16497.50379209212,0.023483864309548234,1.361112534778579,128.43952616147365,58.40767504699944,0.171436831248684,0.0590581825017579,58.63833290174898
Bike Sharing,extratrees,shap,0.15,1.2167229801294268,13360.112805601766,0.022998416549903897,1.2161881651213415,115.58389731641195,58.40767504699944,0.14835621549991626,0.052457236250120276,58.60866975149929
Bike Sharing,extratrees,shap,0.25,0.9214644899279557,9860.520249095549,0.0681337105736727,0.916992688220805,99.25258240148938,263.11114119755996,0.5372715282000354,0.11796029788000391,263.7669508720599
