dataset,model,strategy,k_pct,fold,repeat_seed,corr_prune_threshold,n_features_total,n_features_post_prune,n_features_selected,selected_features
Bike Sharing,ridge,mi,0.25,1,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,1,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,1,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|weather|weekday|windspeed
Bike Sharing,ridge,mi,1.0,1,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,1,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,1,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,1,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,1,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,1,42,0.9,12,11,3,hour|workingday|year
Bike Sharing,ridge,tree,0.5,1,42,0.9,12,11,6,hour|workingday|year|temp|humidity|month
Bike Sharing,ridge,tree,0.75,1,42,0.9,12,11,9,hour|workingday|year|temp|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,1,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,1,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,shap,0.5,1,42,0.9,12,11,6,temp|hour|year|humidity|season|weekday
Bike Sharing,ridge,shap,0.75,1,42,0.9,12,11,9,temp|hour|year|humidity|season|weekday|windspeed|workingday|holiday
Bike Sharing,ridge,shap,1.0,1,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,2,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,2,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,2,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|weekday|windspeed|weather
Bike Sharing,ridge,mi,1.0,2,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,2,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,2,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,2,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,2,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,2,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,2,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,2,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,2,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,2,42,0.9,12,11,3,hour|year|temp
Bike Sharing,ridge,shap,0.5,2,42,0.9,12,11,6,hour|year|temp|season|humidity|weather
Bike Sharing,ridge,shap,0.75,2,42,0.9,12,11,9,hour|year|temp|season|humidity|weather|weekday|windspeed|holiday
Bike Sharing,ridge,shap,1.0,2,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,3,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,3,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,3,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|workingday|weather|windspeed
Bike Sharing,ridge,mi,1.0,3,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,3,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,3,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,3,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
Bike Sharing,ridge,rfe,1.0,3,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,tree,0.25,3,42,0.9,12,11,3,hour|workingday|temp
Bike Sharing,ridge,tree,0.5,3,42,0.9,12,11,6,hour|workingday|temp|year|humidity|month
Bike Sharing,ridge,tree,0.75,3,42,0.9,12,11,9,hour|workingday|temp|year|humidity|month|weather|season|weekday
Bike Sharing,ridge,tree,1.0,3,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,shap,0.25,3,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,shap,0.5,3,42,0.9,12,11,6,temp|hour|year|humidity|season|weather
Bike Sharing,ridge,shap,0.75,3,42,0.9,12,11,9,temp|hour|year|humidity|season|weather|windspeed|workingday|weekday
Bike Sharing,ridge,shap,1.0,3,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,mi,0.25,4,42,0.9,12,11,3,hour|feel_temp|humidity
Bike Sharing,ridge,mi,0.5,4,42,0.9,12,11,6,hour|feel_temp|humidity|month|season|year
Bike Sharing,ridge,mi,0.75,4,42,0.9,12,11,9,hour|feel_temp|humidity|month|season|year|weather|weekday|windspeed
Bike Sharing,ridge,mi,1.0,4,42,0.9,12,11,12,season|year|month|hour|holiday|weekday|workingday|weather|temp|feel_temp|humidity|windspeed
Bike Sharing,ridge,rfe,0.25,4,42,0.9,12,11,3,temp|hour|year
Bike Sharing,ridge,rfe,0.5,4,42,0.9,12,11,6,temp|hour|year|humidity|season|month
Bike Sharing,ridge,rfe,0.75,4,42,0.9,12,11,9,temp|hour|year|humidity|season|month|holiday|weekday|windspeed
