dataset,strategy,k_pct,mean_jaccard_to_majority
Bike Sharing,mi,0.05,1.0
Bike Sharing,mi,0.15,0.6666666666666666
Bike Sharing,rfe,0.05,0.75
Bike Sharing,rfe,0.15,1.0
Bike Sharing,shap,0.05,0.75
Bike Sharing,shap,0.15,0.75
Bike Sharing,tree,0.05,1.0
Bike Sharing,tree,0.15,0.8333333333333334
Communities and Crime,mi,0.05,0.8333333333333331
Communities and Crime,mi,0.15,0.855187908496732
Communities and Crime,rfe,0.05,0.4236111111111111
Communities and Crime,rfe,0.15,0.4778679653679654
Communities and Crime,shap,0.05,0.28650793650793654
Communities and Crime,shap,0.15,0.33575979368355524
Communities and Crime,tree,0.05,0.8333333333333331
Communities and Crime,tree,0.15,0.7337461300309598
Superconductor,mi,0.05,0.48809523809523814
Superconductor,mi,0.15,0.7261904761904763
Superconductor,rfe,0.05,0.7857142857142856
Superconductor,rfe,0.15,0.7516483516483516
Superconductor,shap,0.05,0.2833333333333333
Superconductor,shap,0.15,0.32836156898656904
Superconductor,tree,0.05,0.8999999999999999
Superconductor,tree,0.15,0.8230769230769229
