dataset,model,strategy,rmse,mape,selection_time_s,total_time_s
Bike Sharing,extratrees,tree,58.682992659953236,0.4204435481309031,1.6235611501922602,3.1385043732258984
Bike Sharing,extratrees,shap,61.903446434011926,0.5071326521765424,191.99006048081725,193.43030599685093
Bike Sharing,extratrees,rfe,73.03611470488423,0.6780836056299532,0.04254879948546025,1.543942416764291
Bike Sharing,extratrees,mi,78.88835560568268,0.6352359924262329,1.0886588199375649,2.6690372031250202
Bike Sharing,ridge,rfe,143.43653578807488,3.471163854258237,0.05372075067789363,0.05679389285580996
Bike Sharing,ridge,shap,143.77075781834472,3.493304406381126,0.008015409615353485,0.010262720245163488
Bike Sharing,ridge,mi,143.80407909420285,3.3680840684172697,1.3782458665240331,1.3807538067884697
Bike Sharing,ridge,tree,145.58486560839322,3.4535207574711304,1.9004773606106282,1.9030609788317823
Bike Sharing,xgboost,tree,57.54195299515357,0.4726428584410594,1.9284898322355493,2.935876816264423
Bike Sharing,xgboost,shap,59.94223739550664,0.5523850536690309,18.79144591350965,19.691353048697128
Bike Sharing,xgboost,rfe,69.76596725904025,0.7262056573079183,0.04960262296150772,1.0344575178365607
Bike Sharing,xgboost,mi,71.12727057016812,0.6704778906244498,1.3566329948701548,2.321281165956702
Communities and Crime,extratrees,tree,0.1344407528376734,1990178950927.5264,1.5295449290672565,2.900354134076858
Communities and Crime,extratrees,shap,0.134963391752726,1978086817863.352,7.419801646908638,8.732228546629816
Communities and Crime,extratrees,mi,0.1349885912688488,1973360978637.272,1.054510588033666,2.4431498809375167
Communities and Crime,extratrees,rfe,0.13552115698920925,1926227709493.306,0.65101442210577,2.04293336136536
Communities and Crime,ridge,rfe,0.1367402120499442,1870146990906.208,0.799373456865428,0.8357532854327118
Communities and Crime,ridge,tree,0.1370519771962129,1704066057209.79,1.871049168336536,1.9072679799855938
Communities and Crime,ridge,mi,0.1373204404105298,1700943797159.0168,1.5168367995817162,1.5531703044952285
Communities and Crime,ridge,shap,0.13856977645305543,1746125703683.2776,0.11718994508642745,0.1532597518171708
Communities and Crime,xgboost,mi,0.1383999756204192,2035965098763.952,1.1297995520529365,2.255788510601035
Communities and Crime,xgboost,tree,0.1386529708541116,2076097232880.628,1.5892226623221377,2.7185236109567557
Communities and Crime,xgboost,shap,0.1388389197444455,2092370827317.5466,2.7973283360336634,3.9492954317019193
Communities and Crime,xgboost,rfe,0.13907926545855895,2052976041221.98,0.7122991990577335,1.809519471052901
Superconductor,extratrees,rfe,9.242511623605122,4.54427950375343,1.0803191550096012,6.743122255706724
Superconductor,extratrees,shap,9.277532556025823,4.615112987505878,398.8569272048558,404.7136272256539
Superconductor,extratrees,tree,9.280803101121034,4.651147499907936,7.4056413638846,13.348848915302874
Superconductor,extratrees,mi,9.361156365712434,4.579026357338919,7.821927121951902,13.547991810072066
Superconductor,ridge,rfe,19.034535628407756,17.38451035306807,1.6656052735529085,1.6906133811634896
Superconductor,ridge,shap,19.07371280094725,17.695298028309928,0.18074891323559406,0.2059832339423064
Superconductor,ridge,tree,19.169116695199072,18.10661992373512,10.676100615749991,10.701153325432692
Superconductor,ridge,mi,19.614264887620507,19.568433857876155,11.998754459730831,12.024995543389434
Superconductor,xgboost,shap,10.208462470667541,7.2290241674505475,22.862348893730786,24.19567502228843
Superconductor,xgboost,tree,10.221535779959645,7.394049353754027,10.530156237754808,11.921733664600993
Superconductor,xgboost,rfe,10.337822546791504,7.327431730196739,1.7092476227308095,3.2510935091058277
Superconductor,xgboost,mi,10.413070388597369,7.369358236686817,10.512485698913476,12.040994656235613
