dataset,dataset_instance,k_pct,fold,repeat_seed,strategy_a,strategy_b,rmse_a,rmse_b,rmse_abs_diff,rmse_rel_diff,mae_abs_diff,jaccard,n_sym_diff,n_features_a,n_features_b
Superconductor,Exp2A-Superconductor,0.05,1,999,native_fi,hybrid_fi_custom_shap_rfe,13.790160819180024,13.790160819180024,0.0,0.0,0.0,1.0,0,4,4
Superconductor,Exp2A-Superconductor,0.05,3,256,native_fi,hybrid_fi_custom_shap_rfe,13.241237448961868,13.241237448961868,0.0,0.0,0.0,1.0,0,4,4
Superconductor,Exp2A-Superconductor,0.05,3,512,native_fi,hybrid_fi_custom_shap_rfe,13.9099757195284,13.9099757195284,0.0,0.0,0.0,1.0,0,4,4
Superconductor,Exp2A-Superconductor,0.05,8,256,native_fi,hybrid_fi_custom_shap_rfe,13.25285724045058,13.25285724045058,0.0,0.0,0.0,1.0,0,4,4
Allstate,Exp2B-Allstate,0.15,8,123,native_fi,hybrid_fi_custom_shap_rfe,2168.9099346852004,2168.905066824213,0.004867860987360473,2.2443813408356227e-06,66.23869884688656,0.5384615384615384,12,20,20
Allstate,Exp2B-Allstate,0.5,6,256,native_fi,hybrid_fi_custom_shap_rfe,1938.7422959667051,1938.727951980928,0.014343985777031776,7.398603624046644e-06,0.5565068877417616,0.7368421052631579,20,66,66
Allstate,Exp2B-Allstate,0.25,2,512,native_fi,hybrid_fi_custom_shap_rfe,1908.4286378642207,1908.4096955876212,0.01894227659954595,9.925588111455303e-06,0.8688783851434891,0.7837837837837838,8,33,33
Allstate,Exp2B-Allstate,0.15,6,256,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1960.378802631762,1960.3563817410084,0.022420890753664935,1.1437019581912139e-05,0.15076465331185318,1.0,0,20,20
Allstate,Exp2B-Allstate,0.15,3,999,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1909.861477707788,1909.8897895170703,0.02831180928228605,1.4824011904918793e-05,0.011339866618527594,1.0,0,20,20
Allstate,Exp2B-Allstate,0.05,3,512,native_fi,hybrid_fi_custom_shap_rfe,2153.0289741568395,2153.073820498143,0.04484634130358245,2.082941838771352e-05,53.49308478809985,0.16666666666666666,10,7,7
Allstate,Exp2B-Allstate,0.15,2,512,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1901.938939665712,1901.985993808124,0.04705414241198014,2.4740090983283855e-05,0.07853464727827486,1.0,0,20,20
Allstate,Exp2B-Allstate,0.5,7,42,custom_shap_rfe,hybrid_fi_custom_shap_rfe,1989.5934438719853,1989.5418310034852,0.05161286850011493,2.5941414643822988e-05,0.448478361143998,0.8591549295774648,10,66,66
Superconductor,Exp2A-Superconductor,0.05,10,999,native_fi,custom_shap_rfe,14.291115531609712,14.29154634021332,0.00043080860360689144,3.0145204736048085e-05,0.0013962716060422764,1.0,0,4,4
